ac_gene_id	length_ac
ENSACAG00000000203	3520
ENSACAG00000000204	1028
ENSACAG00000000205	2813
ENSACAG00000000206	5874
ENSACAG00000000207	3530
ENSACAG00000000208	108
ENSACAG00000000210	2704
ENSACAG00000000211	769
ENSACAG00000000212	2601
ENSACAG00000000213	4157
ENSACAG00000000214	7564
ENSACAG00000000215	495
ENSACAG00000000216	8021
ENSACAG00000000219	345
ENSACAG00000000222	5207
ENSACAG00000000223	1257
ENSACAG00000000224	957
ENSACAG00000000225	1278
ENSACAG00000000226	2131
ENSACAG00000000227	5104
ENSACAG00000000228	1665
ENSACAG00000000229	900
ENSACAG00000000230	9630
ENSACAG00000000231	773
ENSACAG00000000233	1545
ENSACAG00000000234	2733
ENSACAG00000000235	1059
ENSACAG00000000236	781
ENSACAG00000000237	8756
ENSACAG00000000239	734
ENSACAG00000000240	3327
ENSACAG00000000241	1221
ENSACAG00000000242	7794
ENSACAG00000000244	4077
ENSACAG00000000245	1748
ENSACAG00000000246	2236
ENSACAG00000000247	2282
ENSACAG00000000248	1476
ENSACAG00000000249	1455
ENSACAG00000000251	354
ENSACAG00000000252	6710
ENSACAG00000000253	2492
ENSACAG00000000254	879
ENSACAG00000000255	2391
ENSACAG00000000256	2848
ENSACAG00000000258	93
ENSACAG00000000260	1236
ENSACAG00000000261	201
ENSACAG00000000262	7953
ENSACAG00000000263	537
ENSACAG00000000264	2018
ENSACAG00000000265	1059
ENSACAG00000000267	6481
ENSACAG00000000268	1536
ENSACAG00000000269	9932
ENSACAG00000000270	267
ENSACAG00000000271	2094
ENSACAG00000000272	1440
ENSACAG00000000273	2411
ENSACAG00000000274	5094
ENSACAG00000000275	3618
ENSACAG00000000276	1365
ENSACAG00000000278	2937
ENSACAG00000000279	7345
ENSACAG00000000280	2151
ENSACAG00000000281	1188
ENSACAG00000000282	1344
ENSACAG00000000284	3675
ENSACAG00000000285	1722
ENSACAG00000000286	2002
ENSACAG00000000288	555
ENSACAG00000000289	3000
ENSACAG00000000290	1644
ENSACAG00000000291	1395
ENSACAG00000000294	749
ENSACAG00000000295	1936
ENSACAG00000000296	1687
ENSACAG00000000298	1205
ENSACAG00000000300	2670
ENSACAG00000000301	3725
ENSACAG00000000302	4781
ENSACAG00000000303	3190
ENSACAG00000000304	11410
ENSACAG00000000305	730
ENSACAG00000000306	5524
ENSACAG00000000307	597
ENSACAG00000000308	1992
ENSACAG00000000309	783
ENSACAG00000000310	267
ENSACAG00000000311	432
ENSACAG00000000315	995
ENSACAG00000000317	1525
ENSACAG00000000318	7202
ENSACAG00000000319	1851
ENSACAG00000000320	1895
ENSACAG00000000321	1359
ENSACAG00000000322	453
ENSACAG00000000324	1554
ENSACAG00000000325	2910.5
ENSACAG00000000328	5238
ENSACAG00000000329	697
ENSACAG00000000330	4301
ENSACAG00000000332	2106
ENSACAG00000000334	786
ENSACAG00000000336	3276
ENSACAG00000000338	6585
ENSACAG00000000339	427
ENSACAG00000000340	2251
ENSACAG00000000341	1482
ENSACAG00000000342	906
ENSACAG00000000343	2965
ENSACAG00000000344	2573
ENSACAG00000000347	4182
ENSACAG00000000349	3417
ENSACAG00000000350	14690
ENSACAG00000000351	9269
ENSACAG00000000352	731
ENSACAG00000000353	6260
ENSACAG00000000355	3622
ENSACAG00000000356	2741
ENSACAG00000000359	495
ENSACAG00000000361	3528
ENSACAG00000000362	7636
ENSACAG00000000363	4349
ENSACAG00000000364	2793.5
ENSACAG00000000365	285
ENSACAG00000000366	3358
ENSACAG00000000367	3558
ENSACAG00000000369	2774
ENSACAG00000000371	1372
ENSACAG00000000373	813
ENSACAG00000000374	3829
ENSACAG00000000375	3265
ENSACAG00000000376	2707
ENSACAG00000000378	3881
ENSACAG00000000380	1365
ENSACAG00000000382	809
ENSACAG00000000383	3684
ENSACAG00000000384	5370
ENSACAG00000000385	3679
ENSACAG00000000386	3193
ENSACAG00000000388	1884
ENSACAG00000000389	1246
ENSACAG00000000390	4734
ENSACAG00000000392	2191
ENSACAG00000000396	2924
ENSACAG00000000397	8707
ENSACAG00000000398	4189
ENSACAG00000000399	1994
ENSACAG00000000400	1373
ENSACAG00000000401	1406
ENSACAG00000000402	1331
ENSACAG00000000403	591
ENSACAG00000000404	3337
ENSACAG00000000406	6282
ENSACAG00000000407	5965
ENSACAG00000000408	126
ENSACAG00000000409	1530
ENSACAG00000000410	723
ENSACAG00000000412	2666
ENSACAG00000000413	4135
ENSACAG00000000415	1624
ENSACAG00000000417	1115
ENSACAG00000000418	1538
ENSACAG00000000419	1367
ENSACAG00000000420	4291
ENSACAG00000000421	717
ENSACAG00000000422	6328
ENSACAG00000000423	5141
ENSACAG00000000424	2188
ENSACAG00000000425	1779
ENSACAG00000000426	3670
ENSACAG00000000427	1042.5
ENSACAG00000000428	5664
ENSACAG00000000429	177
ENSACAG00000000431	2940
ENSACAG00000000432	4314
ENSACAG00000000433	606
ENSACAG00000000434	5254
ENSACAG00000000435	860
ENSACAG00000000436	741
ENSACAG00000000438	6749
ENSACAG00000000439	4977
ENSACAG00000000440	2886
ENSACAG00000000441	532
ENSACAG00000000442	2178
ENSACAG00000000443	1547
ENSACAG00000000445	749
ENSACAG00000000446	1551
ENSACAG00000000447	1905
ENSACAG00000000448	1312
ENSACAG00000000449	1305
ENSACAG00000000451	3554
ENSACAG00000000452	3340.5
ENSACAG00000000455	2979
ENSACAG00000000456	2811
ENSACAG00000000458	3978
ENSACAG00000000459	2373
ENSACAG00000000460	1576
ENSACAG00000000461	1026
ENSACAG00000000462	2799
ENSACAG00000000463	1443
ENSACAG00000000464	3921
ENSACAG00000000465	5396
ENSACAG00000000466	2091
ENSACAG00000000468	906
ENSACAG00000000469	1863
ENSACAG00000000470	1772
ENSACAG00000000471	750
ENSACAG00000000472	879
ENSACAG00000000473	318
ENSACAG00000000474	2754
ENSACAG00000000475	1275
ENSACAG00000000476	3519
ENSACAG00000000477	1526
ENSACAG00000000478	6729
ENSACAG00000000479	2029
ENSACAG00000000481	4515
ENSACAG00000000482	2526
ENSACAG00000000483	4114
ENSACAG00000000484	4273
ENSACAG00000000485	1507
ENSACAG00000000486	2154
ENSACAG00000000487	357
ENSACAG00000000488	2262
ENSACAG00000000489	465
ENSACAG00000000490	2950
ENSACAG00000000491	959
ENSACAG00000000492	2055
ENSACAG00000000493	6762
ENSACAG00000000495	2838
ENSACAG00000000496	339
ENSACAG00000000497	1732
ENSACAG00000000498	1258
ENSACAG00000000499	1131
ENSACAG00000000500	891
ENSACAG00000000501	702
ENSACAG00000000502	2690
ENSACAG00000000504	984
ENSACAG00000000506	1203
ENSACAG00000000507	4038
ENSACAG00000000508	5554
ENSACAG00000000509	390
ENSACAG00000000510	1828
ENSACAG00000000511	4680
ENSACAG00000000512	3565
ENSACAG00000000513	2823
ENSACAG00000000514	918
ENSACAG00000000515	1057
ENSACAG00000000516	138
ENSACAG00000000517	204
ENSACAG00000000520	5325
ENSACAG00000000522	8573
ENSACAG00000000523	4668
ENSACAG00000000524	916
ENSACAG00000000525	2448
ENSACAG00000000526	225
ENSACAG00000000527	504
ENSACAG00000000531	4617
ENSACAG00000000532	2591
ENSACAG00000000533	4593
ENSACAG00000000535	1109.5
ENSACAG00000000536	827
ENSACAG00000000538	5188
ENSACAG00000000539	1705
ENSACAG00000000541	1044
ENSACAG00000000542	2553
ENSACAG00000000543	2064
ENSACAG00000000544	1682
ENSACAG00000000545	6820
ENSACAG00000000546	1942
ENSACAG00000000547	2923
ENSACAG00000000548	4386
ENSACAG00000000549	7106
ENSACAG00000000550	1913
ENSACAG00000000552	8129
ENSACAG00000000553	2305
ENSACAG00000000555	4122
ENSACAG00000000556	5466
ENSACAG00000000557	1470
ENSACAG00000000558	4973
ENSACAG00000000559	3158
ENSACAG00000000560	1008
ENSACAG00000000561	1758
ENSACAG00000000562	1074
ENSACAG00000000564	4610
ENSACAG00000000565	2724
ENSACAG00000000566	15628
ENSACAG00000000567	3572
ENSACAG00000000569	1242
ENSACAG00000000571	426
ENSACAG00000000574	4977
ENSACAG00000000575	3611
ENSACAG00000000576	1177
ENSACAG00000000577	2860
ENSACAG00000000578	5795
ENSACAG00000000579	1527
ENSACAG00000000580	1787
ENSACAG00000000581	4492
ENSACAG00000000582	2230
ENSACAG00000000583	4790
ENSACAG00000000587	960
ENSACAG00000000590	5731
ENSACAG00000000591	1617
ENSACAG00000000592	1837
ENSACAG00000000593	2644
ENSACAG00000000594	348
ENSACAG00000000595	1143
ENSACAG00000000597	4353
ENSACAG00000000598	951
ENSACAG00000000599	1226
ENSACAG00000000600	3164
ENSACAG00000000601	6445
ENSACAG00000000602	1497
ENSACAG00000000603	2568
ENSACAG00000000604	9283
ENSACAG00000000605	4416
ENSACAG00000000606	1266
ENSACAG00000000607	421
ENSACAG00000000608	1309
ENSACAG00000000609	1098
ENSACAG00000000610	4503
ENSACAG00000000611	857
ENSACAG00000000612	1274.5
ENSACAG00000000613	7057
ENSACAG00000000615	291
ENSACAG00000000617	1787
ENSACAG00000000618	195
ENSACAG00000000619	4842
ENSACAG00000000623	3023.5
ENSACAG00000000624	2232
ENSACAG00000000625	1710
ENSACAG00000000626	1211
ENSACAG00000000627	3754
ENSACAG00000000628	3276
ENSACAG00000000629	1881
ENSACAG00000000630	723
ENSACAG00000000631	3144
ENSACAG00000000632	276
ENSACAG00000000633	428
ENSACAG00000000635	1586.5
ENSACAG00000000637	1286
ENSACAG00000000638	876
ENSACAG00000000639	2523
ENSACAG00000000640	2214
ENSACAG00000000642	702.5
ENSACAG00000000643	2827
ENSACAG00000000644	3023
ENSACAG00000000645	1473
ENSACAG00000000646	15441
ENSACAG00000000647	4525
ENSACAG00000000648	6661
ENSACAG00000000649	3391
ENSACAG00000000650	1734
ENSACAG00000000651	672
ENSACAG00000000652	5000.5
ENSACAG00000000653	3175
ENSACAG00000000654	2163
ENSACAG00000000655	2571
ENSACAG00000000656	5271
ENSACAG00000000657	4187
ENSACAG00000000660	1182
ENSACAG00000000662	1290
ENSACAG00000000663	2374
ENSACAG00000000664	2493
ENSACAG00000000665	5846
ENSACAG00000000666	1349
ENSACAG00000000667	3263
ENSACAG00000000669	3441
ENSACAG00000000671	1539
ENSACAG00000000673	1611
ENSACAG00000000676	3903
ENSACAG00000000677	4886
ENSACAG00000000678	3373
ENSACAG00000000680	2244
ENSACAG00000000682	5623
ENSACAG00000000683	468
ENSACAG00000000684	3354
ENSACAG00000000685	3602
ENSACAG00000000686	6051
ENSACAG00000000687	4757
ENSACAG00000000688	2777
ENSACAG00000000689	1773
ENSACAG00000000690	2238
ENSACAG00000000693	759
ENSACAG00000000694	5297
ENSACAG00000000695	4138
ENSACAG00000000696	675
ENSACAG00000000697	306
ENSACAG00000000698	4363
ENSACAG00000000699	1338
ENSACAG00000000701	1356
ENSACAG00000000702	852
ENSACAG00000000703	2324
ENSACAG00000000704	2133
ENSACAG00000000705	1213
ENSACAG00000000706	2460
ENSACAG00000000707	2988
ENSACAG00000000709	507
ENSACAG00000000711	8624
ENSACAG00000000712	5726
ENSACAG00000000713	2221
ENSACAG00000000714	3600
ENSACAG00000000715	945
ENSACAG00000000716	804
ENSACAG00000000717	4590
ENSACAG00000000718	7577
ENSACAG00000000719	2047
ENSACAG00000000720	383
ENSACAG00000000721	826
ENSACAG00000000723	4529
ENSACAG00000000724	7229
ENSACAG00000000725	1002
ENSACAG00000000726	1962
ENSACAG00000000727	885
ENSACAG00000000728	2523
ENSACAG00000000729	2653
ENSACAG00000000730	1834.5
ENSACAG00000000731	3105
ENSACAG00000000732	4183
ENSACAG00000000733	771
ENSACAG00000000734	2262
ENSACAG00000000735	1781
ENSACAG00000000736	1631
ENSACAG00000000737	2064
ENSACAG00000000738	759
ENSACAG00000000739	884
ENSACAG00000000740	417
ENSACAG00000000741	2666
ENSACAG00000000744	740
ENSACAG00000000745	1369
ENSACAG00000000746	6230
ENSACAG00000000747	4049
ENSACAG00000000748	1053
ENSACAG00000000749	2010
ENSACAG00000000750	3095
ENSACAG00000000751	1543
ENSACAG00000000752	4841
ENSACAG00000000754	2068
ENSACAG00000000755	6365
ENSACAG00000000756	2841
ENSACAG00000000757	3969
ENSACAG00000000758	429
ENSACAG00000000759	7780
ENSACAG00000000760	3243
ENSACAG00000000761	2234
ENSACAG00000000762	786
ENSACAG00000000763	648
ENSACAG00000000765	6847
ENSACAG00000000766	668
ENSACAG00000000767	317
ENSACAG00000000768	7035
ENSACAG00000000769	4467
ENSACAG00000000770	2400
ENSACAG00000000771	813
ENSACAG00000000772	3828
ENSACAG00000000773	5569
ENSACAG00000000774	3292
ENSACAG00000000776	1565
ENSACAG00000000777	2104.5
ENSACAG00000000778	1278
ENSACAG00000000779	2418
ENSACAG00000000780	5927
ENSACAG00000000781	3789
ENSACAG00000000782	5774
ENSACAG00000000783	1664
ENSACAG00000000785	1014
ENSACAG00000000786	1960
ENSACAG00000000787	2259
ENSACAG00000000788	4193
ENSACAG00000000789	1623
ENSACAG00000000790	6493
ENSACAG00000000791	1114
ENSACAG00000000792	1972
ENSACAG00000000793	315
ENSACAG00000000794	3103
ENSACAG00000000795	2293
ENSACAG00000000796	466
ENSACAG00000000797	1302
ENSACAG00000000798	2173
ENSACAG00000000800	1163
ENSACAG00000000801	1911
ENSACAG00000000802	8160
ENSACAG00000000803	2950
ENSACAG00000000804	2842.5
ENSACAG00000000805	633
ENSACAG00000000808	2602
ENSACAG00000000810	1161
ENSACAG00000000811	5567
ENSACAG00000000812	1564
ENSACAG00000000813	2290
ENSACAG00000000815	3169
ENSACAG00000000816	3135
ENSACAG00000000818	3050.5
ENSACAG00000000820	144
ENSACAG00000000821	1950
ENSACAG00000000822	828
ENSACAG00000000824	5000
ENSACAG00000000825	3280
ENSACAG00000000826	1677
ENSACAG00000000827	642
ENSACAG00000000828	4090
ENSACAG00000000829	1866
ENSACAG00000000830	3736
ENSACAG00000000831	2059
ENSACAG00000000833	3211
ENSACAG00000000835	2142
ENSACAG00000000836	2057
ENSACAG00000000837	6278
ENSACAG00000000839	606
ENSACAG00000000840	1351
ENSACAG00000000842	896
ENSACAG00000000843	2488
ENSACAG00000000845	1068
ENSACAG00000000846	1350
ENSACAG00000000847	1357
ENSACAG00000000848	6437
ENSACAG00000000850	12111
ENSACAG00000000851	2689
ENSACAG00000000853	1769
ENSACAG00000000854	5692
ENSACAG00000000855	1589
ENSACAG00000000856	2658
ENSACAG00000000857	1145
ENSACAG00000000858	4345
ENSACAG00000000859	2634
ENSACAG00000000860	3094
ENSACAG00000000861	1965
ENSACAG00000000862	3747
ENSACAG00000000864	2556
ENSACAG00000000866	4259
ENSACAG00000000867	399
ENSACAG00000000868	609
ENSACAG00000000869	2222
ENSACAG00000000870	1030
ENSACAG00000000871	1077
ENSACAG00000000872	2856
ENSACAG00000000874	2153
ENSACAG00000000875	1448
ENSACAG00000000876	2059
ENSACAG00000000877	2208
ENSACAG00000000878	1524
ENSACAG00000000879	2401
ENSACAG00000000880	2763
ENSACAG00000000882	7895
ENSACAG00000000883	1165
ENSACAG00000000884	2451
ENSACAG00000000885	1878
ENSACAG00000000886	3090
ENSACAG00000000888	1734
ENSACAG00000000889	737
ENSACAG00000000891	5145
ENSACAG00000000892	1679
ENSACAG00000000893	1725
ENSACAG00000000895	490
ENSACAG00000000896	6600
ENSACAG00000000897	4876
ENSACAG00000000899	3138
ENSACAG00000000900	4738
ENSACAG00000000902	1056
ENSACAG00000000904	3731
ENSACAG00000000905	1641
ENSACAG00000000907	1636
ENSACAG00000000908	1709
ENSACAG00000000910	1628
ENSACAG00000000911	6170
ENSACAG00000000912	1020
ENSACAG00000000914	1508
ENSACAG00000000915	1389
ENSACAG00000000916	768
ENSACAG00000000917	661
ENSACAG00000000919	1091
ENSACAG00000000920	1595
ENSACAG00000000921	1836
ENSACAG00000000922	2902
ENSACAG00000000923	7470
ENSACAG00000000927	1758
ENSACAG00000000928	1073
ENSACAG00000000930	3814
ENSACAG00000000931	3438
ENSACAG00000000932	1488
ENSACAG00000000933	429
ENSACAG00000000936	6240
ENSACAG00000000937	1386
ENSACAG00000000939	6003
ENSACAG00000000940	1596
ENSACAG00000000941	5415
ENSACAG00000000942	756
ENSACAG00000000943	6396
ENSACAG00000000944	2784
ENSACAG00000000945	1554
ENSACAG00000000946	3270
ENSACAG00000000947	1099
ENSACAG00000000948	3054
ENSACAG00000000949	1745
ENSACAG00000000951	2627
ENSACAG00000000952	2021
ENSACAG00000000953	1821
ENSACAG00000000954	5100
ENSACAG00000000955	2279
ENSACAG00000000956	1205
ENSACAG00000000957	1487.5
ENSACAG00000000958	969
ENSACAG00000000959	6416
ENSACAG00000000960	11129
ENSACAG00000000961	231
ENSACAG00000000963	3610
ENSACAG00000000965	3201
ENSACAG00000000966	3093
ENSACAG00000000967	1027
ENSACAG00000000969	1351
ENSACAG00000000970	862
ENSACAG00000000971	1597
ENSACAG00000000972	525
ENSACAG00000000973	1413
ENSACAG00000000974	1899
ENSACAG00000000975	7966
ENSACAG00000000976	1119
ENSACAG00000000977	4580
ENSACAG00000000978	2875
ENSACAG00000000979	5534
ENSACAG00000000981	927
ENSACAG00000000982	5317
ENSACAG00000000983	591
ENSACAG00000000984	2601
ENSACAG00000000985	2390
ENSACAG00000000986	1691
ENSACAG00000000987	5022
ENSACAG00000000988	1534.5
ENSACAG00000000989	3004
ENSACAG00000000991	3739
ENSACAG00000000992	729
ENSACAG00000000993	952
ENSACAG00000000994	6295
ENSACAG00000000996	2635
ENSACAG00000000998	2172
ENSACAG00000000999	1096
ENSACAG00000001000	726
ENSACAG00000001002	1008
ENSACAG00000001003	4643
ENSACAG00000001004	4257
ENSACAG00000001005	516
ENSACAG00000001006	3676
ENSACAG00000001008	5215
ENSACAG00000001010	1296
ENSACAG00000001012	2845
ENSACAG00000001014	3538
ENSACAG00000001015	447
ENSACAG00000001016	186
ENSACAG00000001017	2157
ENSACAG00000001018	3307
ENSACAG00000001019	1263
ENSACAG00000001020	504
ENSACAG00000001021	1202
ENSACAG00000001023	702
ENSACAG00000001024	3083
ENSACAG00000001025	968
ENSACAG00000001027	7453
ENSACAG00000001028	1776
ENSACAG00000001030	678
ENSACAG00000001031	3300
ENSACAG00000001032	2212
ENSACAG00000001033	4613
ENSACAG00000001034	2312
ENSACAG00000001035	1649
ENSACAG00000001036	1087
ENSACAG00000001037	4485
ENSACAG00000001038	7905
ENSACAG00000001039	1074
ENSACAG00000001040	2901
ENSACAG00000001042	1278
ENSACAG00000001044	2154
ENSACAG00000001045	318
ENSACAG00000001046	5661
ENSACAG00000001047	4650
ENSACAG00000001048	1085
ENSACAG00000001049	2858
ENSACAG00000001050	4781
ENSACAG00000001051	423
ENSACAG00000001052	2883
ENSACAG00000001053	5585
ENSACAG00000001054	13649
ENSACAG00000001055	1044
ENSACAG00000001056	4414
ENSACAG00000001057	384
ENSACAG00000001058	2213
ENSACAG00000001059	4283
ENSACAG00000001061	2260
ENSACAG00000001062	896
ENSACAG00000001063	831
ENSACAG00000001066	1080
ENSACAG00000001067	1478
ENSACAG00000001068	5712
ENSACAG00000001069	1638
ENSACAG00000001070	6106
ENSACAG00000001072	2714
ENSACAG00000001073	9931
ENSACAG00000001074	1917
ENSACAG00000001075	906
ENSACAG00000001076	1080
ENSACAG00000001078	3659
ENSACAG00000001080	4222
ENSACAG00000001081	3246
ENSACAG00000001082	1042
ENSACAG00000001083	1867
ENSACAG00000001084	2228
ENSACAG00000001085	585
ENSACAG00000001087	2752
ENSACAG00000001088	2283
ENSACAG00000001089	1191
ENSACAG00000001091	4783
ENSACAG00000001093	1401
ENSACAG00000001095	750
ENSACAG00000001096	2236
ENSACAG00000001097	264
ENSACAG00000001098	2928
ENSACAG00000001099	1219
ENSACAG00000001100	5015
ENSACAG00000001101	2448
ENSACAG00000001102	5878
ENSACAG00000001104	2378
ENSACAG00000001105	3901
ENSACAG00000001106	1903
ENSACAG00000001107	417
ENSACAG00000001108	2252
ENSACAG00000001109	1237
ENSACAG00000001110	3912
ENSACAG00000001111	3047
ENSACAG00000001112	930
ENSACAG00000001114	2190
ENSACAG00000001115	555
ENSACAG00000001116	785
ENSACAG00000001117	1128
ENSACAG00000001118	1410
ENSACAG00000001119	1776
ENSACAG00000001121	666
ENSACAG00000001123	3729
ENSACAG00000001124	951
ENSACAG00000001125	952
ENSACAG00000001127	324
ENSACAG00000001128	591
ENSACAG00000001129	1071
ENSACAG00000001130	2388
ENSACAG00000001131	3107
ENSACAG00000001132	6632
ENSACAG00000001133	747
ENSACAG00000001134	1606
ENSACAG00000001135	6242
ENSACAG00000001137	1770
ENSACAG00000001138	2737
ENSACAG00000001139	3597
ENSACAG00000001140	5296
ENSACAG00000001141	252
ENSACAG00000001142	4924
ENSACAG00000001143	2367
ENSACAG00000001144	6537
ENSACAG00000001145	6649
ENSACAG00000001146	1080
ENSACAG00000001147	2282.5
ENSACAG00000001148	2877
ENSACAG00000001149	492
ENSACAG00000001150	5652
ENSACAG00000001151	2935
ENSACAG00000001152	778
ENSACAG00000001153	1816
ENSACAG00000001156	1567
ENSACAG00000001157	1217
ENSACAG00000001158	5738
ENSACAG00000001160	1874
ENSACAG00000001161	4392
ENSACAG00000001162	3884
ENSACAG00000001164	3150
ENSACAG00000001165	1817
ENSACAG00000001166	4221
ENSACAG00000001167	372
ENSACAG00000001169	759
ENSACAG00000001170	345
ENSACAG00000001171	1464
ENSACAG00000001172	291
ENSACAG00000001173	3513
ENSACAG00000001174	3019
ENSACAG00000001175	4039
ENSACAG00000001176	3154
ENSACAG00000001178	3665
ENSACAG00000001179	2313
ENSACAG00000001180	11070
ENSACAG00000001181	3246
ENSACAG00000001182	1122
ENSACAG00000001183	1972
ENSACAG00000001184	2014
ENSACAG00000001185	5894
ENSACAG00000001186	648
ENSACAG00000001187	3372
ENSACAG00000001188	2734
ENSACAG00000001189	5113
ENSACAG00000001190	8495
ENSACAG00000001191	2174
ENSACAG00000001192	7389
ENSACAG00000001193	684
ENSACAG00000001194	783
ENSACAG00000001195	420
ENSACAG00000001196	2158
ENSACAG00000001199	1956
ENSACAG00000001200	3901
ENSACAG00000001202	1338
ENSACAG00000001203	1239
ENSACAG00000001204	942
ENSACAG00000001205	3799
ENSACAG00000001206	735
ENSACAG00000001207	5953
ENSACAG00000001208	3690
ENSACAG00000001209	2622
ENSACAG00000001210	6564
ENSACAG00000001211	717
ENSACAG00000001213	5189
ENSACAG00000001214	1978
ENSACAG00000001215	1327
ENSACAG00000001216	603
ENSACAG00000001217	570
ENSACAG00000001218	750
ENSACAG00000001219	3802
ENSACAG00000001220	3462
ENSACAG00000001221	4641
ENSACAG00000001222	336
ENSACAG00000001223	2414
ENSACAG00000001224	1869
ENSACAG00000001225	2589
ENSACAG00000001226	3408
ENSACAG00000001227	1035
ENSACAG00000001228	3270
ENSACAG00000001229	5894
ENSACAG00000001230	1717
ENSACAG00000001231	372
ENSACAG00000001232	1293
ENSACAG00000001233	1435
ENSACAG00000001234	1396
ENSACAG00000001235	3599
ENSACAG00000001236	2388
ENSACAG00000001237	4830
ENSACAG00000001238	2795
ENSACAG00000001239	435
