hs_gene_id	mm_gene_id	mm_homol	ac_gene_id	ac_homol	gene_symbol
ENSG00000133226	ENSMUSG00000028809	ortholog_one2one	ENSACAG00000017848	ortholog_one2one	SRRM1
ENSG00000174485	ENSMUSG00000053641	ortholog_one2one	ENSACAG00000004531	ortholog_one2one	DENND4A
ENSG00000176842	ENSMUSG00000031737	ortholog_one2one			IRX5
ENSG00000150459	ENSMUSG00000021963	ortholog_one2many	ENSACAG00000002713	ortholog_one2one	SAP18
ENSG00000150459	ENSMUSG00000061104	ortholog_one2many	ENSACAG00000002713	ortholog_one2one	SAP18
ENSG00000174446	ENSMUSG00000032398	ortholog_one2one			SNAPC5
ENSG00000185947	ENSMUSG00000033883	ortholog_one2many			ZNF267
ENSG00000185811	ENSMUSG00000018654	ortholog_one2one	ENSACAG00000008236	ortholog_one2one	IKZF1
ENSG00000132274			ENSACAG00000014928	ortholog_one2many	TRIM22
ENSG00000158806	ENSMUSG00000047911	ortholog_one2one	ENSACAG00000000163	ortholog_one2one	NPM2
ENSG00000064961	ENSMUSG00000020232	ortholog_one2one			HMG20B
ENSG00000140382	ENSMUSG00000032329	ortholog_one2one	ENSACAG00000011520	ortholog_one2one	HMG20A
ENSG00000127528	ENSMUSG00000055148	ortholog_one2one			KLF2
ENSG00000164442	ENSMUSG00000039910	ortholog_one2one	ENSACAG00000004848	ortholog_one2one	CITED2
ENSG00000213928	ENSMUSG00000002325	ortholog_one2one	ENSACAG00000003946	ortholog_one2many	IRF9
ENSG00000213928	ENSMUSG00000002325	ortholog_one2one	ENSACAG00000025630	ortholog_one2many	IRF9
ENSG00000102098	ENSMUSG00000000037	ortholog_one2one	ENSACAG00000011680	ortholog_one2one	SCML2
ENSG00000131788	ENSMUSG00000028101	ortholog_one2one	ENSACAG00000013782	ortholog_one2one	PIAS3
ENSG00000239306	ENSMUSG00000006456	ortholog_one2one	ENSACAG00000012696	ortholog_one2one	RBM14
ENSG00000197223	ENSMUSG00000000581	ortholog_one2one	ENSACAG00000001337	ortholog_one2one	C1D
ENSG00000113722	ENSMUSG00000024619	ortholog_one2one	ENSACAG00000015334	ortholog_one2one	CDX1
ENSG00000165556	ENSMUSG00000029646	ortholog_one2one	ENSACAG00000003334	ortholog_one2one	CDX2
ENSG00000143575	ENSMUSG00000027944	ortholog_one2one	ENSACAG00000026746	ortholog_one2one	HAX1
ENSG00000131264	ENSMUSG00000031326	ortholog_one2one			CDX4
ENSG00000179456	ENSMUSG00000063659	ortholog_one2one	ENSACAG00000004296	ortholog_one2one	ZBTB18
ENSG00000182952			ENSACAG00000020943	ortholog_one2many	HMGN4
ENSG00000171148	ENSMUSG00000048930	ortholog_one2one	ENSACAG00000009892	ortholog_one2one	TADA3
ENSG00000159184	ENSMUSG00000049604	ortholog_one2one	ENSACAG00000006408	ortholog_one2one	HOXB13
ENSG00000107175	ENSMUSG00000028466	ortholog_one2one	ENSACAG00000011429	ortholog_one2one	CREB3
ENSG00000140396	ENSMUSG00000005886	ortholog_one2one	ENSACAG00000015006	ortholog_one2one	NCOA2
ENSG00000245848	ENSMUSG00000034957	ortholog_one2one			CEBPA
ENSG00000172216	ENSMUSG00000056501	ortholog_one2one	ENSACAG00000015567	ortholog_one2one	CEBPB
ENSG00000132382	ENSMUSG00000040463	ortholog_one2one	ENSACAG00000000464	ortholog_one2one	MYBBP1A
ENSG00000221869	ENSMUSG00000071637	ortholog_one2one	ENSACAG00000012009	ortholog_one2one	CEBPD
ENSG00000121417					ZNF211
ENSG00000282712					DEAF1
ENSG00000177030	ENSMUSG00000058886	ortholog_one2one	ENSACAG00000015102	ortholog_one2one	DEAF1
ENSG00000172977	ENSMUSG00000024926	ortholog_one2one	ENSACAG00000008839	ortholog_one2one	KAT5
ENSG00000092067	ENSMUSG00000052435	ortholog_one2one	ENSACAG00000007268	ortholog_one2one	CEBPE
ENSG00000156127	ENSMUSG00000034266	ortholog_one2one	ENSACAG00000016951	ortholog_one2one	BATF
ENSG00000153879	ENSMUSG00000056216	ortholog_one2one	ENSACAG00000013617	ortholog_one2one	CEBPG
ENSG00000109854	ENSMUSG00000039745	ortholog_one2one	ENSACAG00000016668	ortholog_one2one	HTATIP2
ENSG00000175550	ENSMUSG00000024914	ortholog_one2one			DRAP1
ENSG00000125817	ENSMUSG00000068267	ortholog_one2one			CENPB
ENSG00000123933	ENSMUSG00000037235	ortholog_one2one	ENSACAG00000007819	ortholog_one2one	MXD4
ENSG00000186834	ENSMUSG00000048878	ortholog_one2one	ENSACAG00000016321	ortholog_one2one	HEXIM1
ENSG00000125826	ENSMUSG00000027466	ortholog_one2one	ENSACAG00000008195	ortholog_one2one	RBCK1
ENSG00000179361	ENSMUSG00000004661	ortholog_one2one	ENSACAG00000015146	ortholog_one2one	ARID3B
ENSG00000132664	ENSMUSG00000027427	ortholog_one2one	ENSACAG00000014293	ortholog_one2one	POLR3F
ENSG00000186141	ENSMUSG00000028099	ortholog_one2one			POLR3C
ENSG00000116679	ENSMUSG00000023150	ortholog_one2one	ENSACAG00000002224	ortholog_one2one	IVNS1ABP
ENSG00000221926	ENSMUSG00000047821	ortholog_one2many	ENSACAG00000017559	ortholog_one2many	TRIM16
ENSG00000162227	ENSMUSG00000003680	ortholog_one2one	ENSACAG00000003486	ortholog_one2one	TAF6L
ENSG00000169220	ENSMUSG00000052087	ortholog_one2one	ENSACAG00000006435	ortholog_one2one	RGS14
ENSG00000173253	ENSMUSG00000048138	ortholog_one2one	ENSACAG00000002411	ortholog_one2one	DMRT2
ENSG00000121774	ENSMUSG00000028790	ortholog_one2one	ENSACAG00000011693	ortholog_one2one	KHDRBS1
ENSG00000138136	ENSMUSG00000025216	ortholog_one2one	ENSACAG00000022501	ortholog_one2one	LBX1
ENSG00000105610	ENSMUSG00000054191	ortholog_one2one	ENSACAG00000008367	ortholog_one2one	KLF1
ENSG00000102974	ENSMUSG00000005698	ortholog_one2one	ENSACAG00000001050	ortholog_one2one	CTCF
ENSG00000162419	ENSMUSG00000028901	ortholog_one2one	ENSACAG00000010878	ortholog_one2one	GMEB1
ENSG00000136535	ENSMUSG00000035033	ortholog_one2one	ENSACAG00000011860	ortholog_one2one	TBR1
ENSG00000102908	ENSMUSG00000003847	ortholog_one2one	ENSACAG00000003530	ortholog_one2one	NFAT5
ENSG00000101190	ENSMUSG00000038932	ortholog_one2one	ENSACAG00000005435	ortholog_one2one	TCFL5
ENSG00000170577	ENSMUSG00000024134	ortholog_one2one	ENSACAG00000003799	ortholog_one2one	SIX2
ENSG00000108557	ENSMUSG00000062115	ortholog_one2one	ENSACAG00000001421	ortholog_one2one	RAI1
ENSG00000116793	ENSMUSG00000058388	ortholog_one2one	ENSACAG00000000153	ortholog_one2one	PHTF1
ENSG00000117139	ENSMUSG00000042207	ortholog_one2one	ENSACAG00000005107	ortholog_one2one	KDM5B
ENSG00000015171	ENSMUSG00000021156	ortholog_one2one	ENSACAG00000002297	ortholog_one2one	ZMYND11
ENSG00000188529	ENSMUSG00000028676	ortholog_one2one	ENSACAG00000005327	ortholog_one2one	SRSF10
ENSG00000186130	ENSMUSG00000066798	ortholog_one2one	ENSACAG00000007975	ortholog_one2many	ZBTB6
ENSG00000257267					ZNF271P
ENSG00000263002			ENSACAG00000024878	ortholog_one2many	ZNF234
ENSG00000174652					ZNF266
ENSG00000171606	ENSMUSG00000021514	ortholog_one2many	ENSACAG00000023124	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000058638	ortholog_one2many	ENSACAG00000023124	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000021514	ortholog_one2many	ENSACAG00000025321	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000058638	ortholog_one2many	ENSACAG00000025321	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000021514	ortholog_one2many	ENSACAG00000023239	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000058638	ortholog_one2many	ENSACAG00000023239	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000021514	ortholog_one2many	ENSACAG00000026848	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000058638	ortholog_one2many	ENSACAG00000026848	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000021514	ortholog_one2many	ENSACAG00000024210	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000058638	ortholog_one2many	ENSACAG00000024210	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000021514	ortholog_one2many	ENSACAG00000027246	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000058638	ortholog_one2many	ENSACAG00000027246	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000021514	ortholog_one2many	ENSACAG00000027528	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000058638	ortholog_one2many	ENSACAG00000027528	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000021514	ortholog_one2many	ENSACAG00000023395	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000058638	ortholog_one2many	ENSACAG00000023395	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000021514	ortholog_one2many	ENSACAG00000026879	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000058638	ortholog_one2many	ENSACAG00000026879	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000021514	ortholog_one2many	ENSACAG00000025667	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000058638	ortholog_one2many	ENSACAG00000025667	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000021514	ortholog_one2many	ENSACAG00000025114	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000058638	ortholog_one2many	ENSACAG00000025114	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000021514	ortholog_one2many	ENSACAG00000022603	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000058638	ortholog_one2many	ENSACAG00000022603	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000021514	ortholog_one2many	ENSACAG00000027577	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000058638	ortholog_one2many	ENSACAG00000027577	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000021514	ortholog_one2many	ENSACAG00000027143	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000058638	ortholog_one2many	ENSACAG00000027143	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000021514	ortholog_one2many	ENSACAG00000025247	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000058638	ortholog_one2many	ENSACAG00000025247	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000021514	ortholog_one2many	ENSACAG00000024581	ortholog_many2many	ZNF274
ENSG00000171606	ENSMUSG00000058638	ortholog_one2many	ENSACAG00000024581	ortholog_many2many	ZNF274
ENSG00000198039	ENSMUSG00000074824	ortholog_many2many	ENSACAG00000025217	ortholog_many2many	ZNF273
ENSG00000198039	ENSMUSG00000097333	ortholog_many2many	ENSACAG00000025217	ortholog_many2many	ZNF273
ENSG00000198039	ENSMUSG00000074824	ortholog_many2many	ENSACAG00000024821	ortholog_many2many	ZNF273
ENSG00000198039	ENSMUSG00000097333	ortholog_many2many	ENSACAG00000024821	ortholog_many2many	ZNF273
ENSG00000198039	ENSMUSG00000074824	ortholog_many2many	ENSACAG00000029114	ortholog_many2many	ZNF273
ENSG00000198039	ENSMUSG00000097333	ortholog_many2many	ENSACAG00000029114	ortholog_many2many	ZNF273
ENSG00000197714					ZNF460
ENSG00000090612					ZNF268
ENSG00000063587	ENSMUSG00000031365	ortholog_one2one			ZNF275
ENSG00000080603	ENSMUSG00000107023	ortholog_many2many	ENSACAG00000011495	ortholog_one2many	SRCAP
ENSG00000080603	ENSMUSG00000053877	ortholog_many2many	ENSACAG00000011495	ortholog_one2many	SRCAP
ENSG00000183207	ENSMUSG00000003868	ortholog_one2one	ENSACAG00000012639	ortholog_one2one	RUVBL2
ENSG00000109819	ENSMUSG00000029167	ortholog_one2one	ENSACAG00000000741	ortholog_one2one	PPARGC1A
ENSG00000112983	ENSMUSG00000003778	ortholog_one2one	ENSACAG00000006700	ortholog_one2one	BRD8
ENSG00000090060	ENSMUSG00000021111	ortholog_one2one	ENSACAG00000028359	ortholog_many2many	PAPOLA
ENSG00000090060	ENSMUSG00000021111	ortholog_one2one	ENSACAG00000013474	ortholog_many2many	PAPOLA
ENSG00000113649	ENSMUSG00000024498	ortholog_one2one	ENSACAG00000014246	ortholog_one2one	TCERG1
ENSG00000238134					EHMT2
ENSG00000227333					EHMT2
ENSG00000236759					EHMT2
ENSG00000206376					EHMT2
ENSG00000224143					EHMT2
ENSG00000204371	ENSMUSG00000013787	ortholog_one2one	ENSACAG00000010883	ortholog_one2one	EHMT2
ENSG00000232045					EHMT2
ENSG00000205937	ENSMUSG00000034681	ortholog_one2one	ENSACAG00000004088	ortholog_one2one	RNPS1
ENSG00000113387	ENSMUSG00000022205	ortholog_one2one	ENSACAG00000007974	ortholog_one2one	SUB1
ENSG00000263465			ENSACAG00000008553	ortholog_one2many	SRSF8
ENSG00000005302	ENSMUSG00000031358	ortholog_one2many	ENSACAG00000001416	ortholog_one2one	MSL3
ENSG00000005302	ENSMUSG00000047669	ortholog_one2many	ENSACAG00000001416	ortholog_one2one	MSL3
ENSG00000112249	ENSMUSG00000038774	ortholog_one2one	ENSACAG00000010080	ortholog_one2one	ASCC3
ENSG00000121022	ENSMUSG00000025917	ortholog_one2one	ENSACAG00000016425	ortholog_one2one	COPS5
ENSG00000170653	ENSMUSG00000052414	ortholog_many2many	ENSACAG00000001199	ortholog_one2many	ATF7
ENSG00000170653	ENSMUSG00000099083	ortholog_many2many	ENSACAG00000001199	ortholog_one2many	ATF7
ENSG00000124380	ENSMUSG00000001158	ortholog_one2one	ENSACAG00000005984	ortholog_one2one	SNRNP27
ENSG00000148704	ENSMUSG00000006270	ortholog_one2one			VAX1
ENSG00000242441	ENSMUSG00000024154	ortholog_one2one			GTF2A1L
ENSG00000153922	ENSMUSG00000023852	ortholog_one2one	ENSACAG00000011210	ortholog_one2one	CHD1
ENSG00000123124	ENSMUSG00000041058	ortholog_one2one	ENSACAG00000009554	ortholog_one2one	WWP1
ENSG00000173575	ENSMUSG00000078671	ortholog_one2one	ENSACAG00000000088	ortholog_one2one	CHD2
ENSG00000039600	ENSMUSG00000040489	ortholog_one2one	ENSACAG00000003369	ortholog_one2one	SOX30
ENSG00000119397	ENSMUSG00000057110	ortholog_one2one	ENSACAG00000003061	ortholog_one2one	CNTRL
ENSG00000226402					TRIM31
ENSG00000224168					TRIM31
ENSG00000224542					TRIM31
ENSG00000137397					TRIM31
ENSG00000225130					TRIM31
ENSG00000233573					TRIM31
ENSG00000204616	ENSMUSG00000058063	ortholog_one2one	ENSACAG00000007312	ortholog_one2many	TRIM31
ENSG00000204616	ENSMUSG00000058063	ortholog_one2one	ENSACAG00000029237	ortholog_one2many	TRIM31
ENSG00000204616	ENSMUSG00000058063	ortholog_one2one	ENSACAG00000000630	ortholog_one2many	TRIM31
ENSG00000204616	ENSMUSG00000058063	ortholog_one2one	ENSACAG00000028832	ortholog_one2many	TRIM31
ENSG00000204616	ENSMUSG00000058063	ortholog_one2one	ENSACAG00000005295	ortholog_one2many	TRIM31
ENSG00000223531					TRIM31
ENSG00000160207	ENSMUSG00000002076	ortholog_one2one	ENSACAG00000017849	ortholog_one2one	HSF2BP
ENSG00000111642	ENSMUSG00000063870	ortholog_one2one	ENSACAG00000006231	ortholog_one2one	CHD4
ENSG00000101191	ENSMUSG00000038914	ortholog_one2one	ENSACAG00000005462	ortholog_one2one	DIDO1
ENSG00000105323	ENSMUSG00000040725	ortholog_one2one	ENSACAG00000003856	ortholog_one2one	HNRNPUL1
ENSG00000126856	ENSMUSG00000051977	ortholog_one2one			PRDM7
ENSG00000138738	ENSMUSG00000029913	ortholog_one2one	ENSACAG00000012999	ortholog_one2one	PRDM5
ENSG00000110851	ENSMUSG00000035529	ortholog_one2one	ENSACAG00000014907	ortholog_one2one	PRDM4
ENSG00000053254	ENSMUSG00000033713	ortholog_one2one	ENSACAG00000012791	ortholog_one2one	FOXN3
ENSG00000148606	ENSMUSG00000025280	ortholog_one2one	ENSACAG00000007985	ortholog_one2one	POLR3A
ENSG00000104859	ENSMUSG00000061028	ortholog_one2one	ENSACAG00000004151	ortholog_one2one	CLASRP
ENSG00000136045	ENSMUSG00000001785	ortholog_one2one	ENSACAG00000014954	ortholog_one2one	PWP1
ENSG00000136504	ENSMUSG00000038909	ortholog_one2one	ENSACAG00000005025	ortholog_one2one	KAT7
ENSG00000125285	ENSMUSG00000061517	ortholog_one2one	ENSACAG00000002492	ortholog_one2one	SOX21
ENSG00000164985	ENSMUSG00000028484	ortholog_one2one	ENSACAG00000017757	ortholog_one2one	PSIP1
ENSG00000198554	ENSMUSG00000037572	ortholog_one2one	ENSACAG00000016303	ortholog_one2one	WDHD1
ENSG00000198604	ENSMUSG00000035021	ortholog_one2one	ENSACAG00000002328	ortholog_one2one	BAZ1A
ENSG00000061337	ENSMUSG00000036306	ortholog_one2one	ENSACAG00000001472	ortholog_one2one	LZTS1
ENSG00000198839	ENSMUSG00000055917	ortholog_one2one	ENSACAG00000007100	ortholog_one2one	ZNF277
ENSG00000159409	ENSMUSG00000028137	ortholog_one2one			CELF3
ENSG00000092201	ENSMUSG00000035726	ortholog_one2one	ENSACAG00000003193	ortholog_one2one	SUPT16H
ENSG00000064703	ENSMUSG00000027905	ortholog_one2one	ENSACAG00000006235	ortholog_one2one	DDX20
ENSG00000165156	ENSMUSG00000022361	ortholog_one2one	ENSACAG00000009608	ortholog_one2one	ZHX1
ENSG00000079263	ENSMUSG00000089844	ortholog_one2many			SP140
ENSG00000079263	ENSMUSG00000079794	ortholog_one2many			SP140
ENSG00000079263	ENSMUSG00000052477	ortholog_one2many			SP140
ENSG00000079263	ENSMUSG00000095500	ortholog_one2many			SP140
ENSG00000079263	ENSMUSG00000070031	ortholog_one2many			SP140
ENSG00000079263	ENSMUSG00000079190	ortholog_one2many			SP140
ENSG00000079263	ENSMUSG00000079192	ortholog_one2many			SP140
ENSG00000118922	ENSMUSG00000072294	ortholog_one2one	ENSACAG00000001764	ortholog_one2one	KLF12
ENSG00000102349	ENSMUSG00000041649	ortholog_one2one	ENSACAG00000006389	ortholog_one2one	KLF8
ENSG00000106536	ENSMUSG00000009734	ortholog_one2one			POU6F2
ENSG00000056487	ENSMUSG00000016624	ortholog_one2one	ENSACAG00000015718	ortholog_one2one	PHF21B
ENSG00000159479	ENSMUSG00000006392	ortholog_one2one	ENSACAG00000013435	ortholog_one2one	MED8
ENSG00000124232	ENSMUSG00000017007	ortholog_one2one	ENSACAG00000012362	ortholog_one2one	RBPJL
ENSG00000122882	ENSMUSG00000021810	ortholog_one2one	ENSACAG00000023772	ortholog_one2many	ECD
ENSG00000122882	ENSMUSG00000021810	ortholog_one2one	ENSACAG00000023049	ortholog_one2many	ECD
ENSG00000215021	ENSMUSG00000004264	ortholog_one2one	ENSACAG00000007158	ortholog_one2one	PHB2
ENSG00000122565	ENSMUSG00000029836	ortholog_one2one	ENSACAG00000012973	ortholog_one2one	CBX3
ENSG00000197134	ENSMUSG00000074824	ortholog_many2many	ENSACAG00000025217	ortholog_many2many	ZNF257
ENSG00000197134	ENSMUSG00000097333	ortholog_many2many	ENSACAG00000025217	ortholog_many2many	ZNF257
ENSG00000197134	ENSMUSG00000074824	ortholog_many2many	ENSACAG00000024821	ortholog_many2many	ZNF257
ENSG00000197134	ENSMUSG00000097333	ortholog_many2many	ENSACAG00000024821	ortholog_many2many	ZNF257
ENSG00000197134	ENSMUSG00000074824	ortholog_many2many	ENSACAG00000029114	ortholog_many2many	ZNF257
ENSG00000197134	ENSMUSG00000097333	ortholog_many2many	ENSACAG00000029114	ortholog_many2many	ZNF257
ENSG00000141946					ZIM3
ENSG00000132773	ENSMUSG00000028688	ortholog_one2one	ENSACAG00000015161	ortholog_one2one	TOE1
ENSG00000172006	ENSMUSG00000095206	ortholog_one2one	ENSACAG00000022075	ortholog_one2one	ZNF554
ENSG00000156853	ENSMUSG00000048921	ortholog_one2one			ZNF689
ENSG00000281661					ZNF501
ENSG00000186446					ZNF501
ENSG00000161914	ENSMUSG00000038895	ortholog_one2one	ENSACAG00000016965	ortholog_one2many	ZNF653
ENSG00000049167	ENSMUSG00000021694	ortholog_one2one	ENSACAG00000008899	ortholog_one2many	ERCC8
