Ensembl Gene ID	Transcript length (including UTRs and CDS)	Associated Gene Name
ENSGALG00000032414	4771	
ENSGALG00000004190	2282	RNF34
ENSGALG00000031875	1375	
ENSGALG00000004611	2482	FBXL18
ENSGALG00000034517	3229	
ENSGALG00000017268	903	KCTD21
ENSGALG00000012986	5118	KDM5A
ENSGALG00000038782	1767	ZC3H12D
ENSGALG00000033826	931	
ENSGALG00000033826	691	
ENSGALG00000036622	1683	
ENSGALG00000039825	426	
ENSGALG00000016268	2631	CFAP47
ENSGALG00000042181	1878	DDHD2
ENSGALG00000042181	1854	DDHD2
ENSGALG00000002744	6679	PCDH15
ENSGALG00000002744	5700	PCDH15
ENSGALG00000030511	2220	SLC19A1
ENSGALG00000013208	6687	
ENSGALG00000008123	3095	RINT1
ENSGALG00000034840	1107	
ENSGALG00000038753	1303	SAR1B
ENSGALG00000038753	1560	SAR1B
ENSGALG00000038753	1109	SAR1B
ENSGALG00000038753	1368	SAR1B
ENSGALG00000038753	1573	SAR1B
ENSGALG00000005982	3851	KLHL13
ENSGALG00000005982	1896	KLHL13
ENSGALG00000029621	4773	SEMA3F
ENSGALG00000029621	4773	SEMA3F
ENSGALG00000029621	4703	SEMA3F
ENSGALG00000032838	1038	BKJ
ENSGALG00000012364	1677	PPIL4
ENSGALG00000039251	2129	
ENSGALG00000039251	1787	
ENSGALG00000030664	908	
ENSGALG00000034740	442	
ENSGALG00000042515	471	
ENSGALG00000035763	330	BKJ
ENSGALG00000004225	2052	
ENSGALG00000004225	2109	
ENSGALG00000000993	2774	GAPVD1
ENSGALG00000000993	2685	GAPVD1
ENSGALG00000000993	8034	GAPVD1
ENSGALG00000037650	1879	
ENSGALG00000019042	2013	ALG8
ENSGALG00000038477	330	BKJ
ENSGALG00000004394	1047	PCBP3
ENSGALG00000032049	747	
ENSGALG00000009621	1822	ACTB
ENSGALG00000009621	1536	ACTB
ENSGALG00000033692	1107	
ENSGALG00000012987	1443	CCDC77
ENSGALG00000041695	417	
ENSGALG00000012370	1949	GINM1
ENSGALG00000013281	1953	
ENSGALG00000041637	1062	
ENSGALG00000041637	381	
ENSGALG00000016720	3017	CD2AP
ENSGALG00000016720	3008	CD2AP
ENSGALG00000016720	1884	CD2AP
ENSGALG00000005997	3816	WDR44
ENSGALG00000043685	6643	LRRC14
ENSGALG00000043685	1779	LRRC14
ENSGALG00000043685	1779	LRRC14
ENSGALG00000008115	3233	ATXN7L1
ENSGALG00000008115	2799	ATXN7L1
ENSGALG00000027198	1702	TMEM47
ENSGALG00000029172	543	NDUFC2
ENSGALG00000029172	976	NDUFC2
ENSGALG00000006424	1581	JADE2
ENSGALG00000004240	893	ORAI1
ENSGALG00000004240	654	ORAI1
ENSGALG00000040291	1980	
ENSGALG00000040291	2609	
ENSGALG00000040291	2153	
ENSGALG00000038773	261	
ENSGALG00000038628	234	
ENSGALG00000012378	1798	KATNA1
ENSGALG00000042944	402	THRSPB
ENSGALG00000006062	2063	ZBTB46
ENSGALG00000028697	1451	GNAT1
ENSGALG00000033300	1065	
ENSGALG00000033300	465	
ENSGALG00000033300	630	
ENSGALG00000002761	2031	SIRT1
ENSGALG00000002761	2271	SIRT1
ENSGALG00000036872	279	
ENSGALG00000004247	639	MORN3
ENSGALG00000034988	1159	RDH5
ENSGALG00000000977	1765	MAPKAP1
ENSGALG00000035803	805	THRSP
ENSGALG00000032664	954	UBE2B
ENSGALG00000032664	426	UBE2B
ENSGALG00000032967	1478	
ENSGALG00000016723	2565	
ENSGALG00000017266	1033	KCTD14
ENSGALG00000021128	1788	FSCN1
ENSGALG00000021128	1449	FSCN1
ENSGALG00000012386	4185	LATS1
ENSGALG00000012386	3573	LATS1
ENSGALG00000036806	1182	GDF11
ENSGALG00000031570	363	
ENSGALG00000035645	4851	GNAI2
ENSGALG00000041659	960	SLC2A4RG
ENSGALG00000041659	537	SLC2A4RG
ENSGALG00000004254	1804	TMEM120B
ENSGALG00000030915	1280	
ENSGALG00000005974	4606	COL6A1
ENSGALG00000005974	2991	COL6A1
ENSGALG00000016725	1186	OPN5
ENSGALG00000002769	1762	DNAJC12
ENSGALG00000008109	2883	CDHR3
ENSGALG00000008109	2865	CDHR3
ENSGALG00000008109	3317	CDHR3
ENSGALG00000041205	2208	
ENSGALG00000041205	2280	
ENSGALG00000033847	1502	
ENSGALG00000000091	3053	INTS4
ENSGALG00000013287	933	C4orf47
ENSGALG00000013287	873	C4orf47
ENSGALG00000013287	939	C4orf47
ENSGALG00000013287	936	C4orf47
ENSGALG00000012387	1951	NUP43
ENSGALG00000006462	2255	PPP2CA
ENSGALG00000006092	4101	
ENSGALG00000004629	7164	RNF216
ENSGALG00000016726	2715	PTCHD4
ENSGALG00000039724	1464	RHOF
ENSGALG00000030342	1446	SARNP
ENSGALG00000030342	738	SARNP
ENSGALG00000012988	2952	B4GALNT3
ENSGALG00000012988	2649	B4GALNT3
ENSGALG00000012988	2895	B4GALNT3
ENSGALG00000028871	3661	SLC38A3
ENSGALG00000031471	1224	
ENSGALG00000031471	1143	
ENSGALG00000002845	4429	CTNNA3
ENSGALG00000000972	3708	PBX3
ENSGALG00000000972	2163	PBX3
ENSGALG00000000972	2032	PBX3
ENSGALG00000000972	1068	PBX3
ENSGALG00000006101	1537	ARFRP1
ENSGALG00000029012	1437	
ENSGALG00000029012	2738	
ENSGALG00000006017	6207	DOCK11
ENSGALG00000006017	6097	DOCK11
ENSGALG00000004655	2229	SMURF1
ENSGALG00000031940	962	ORMDL2
ENSGALG00000041949	1499	AAMDC
ENSGALG00000041949	1360	AAMDC
ENSGALG00000002864	3436	LRRTM3
ENSGALG00000006106	1154	TNFRSF6B
ENSGALG00000004324	6295	SETD1B
ENSGALG00000029006	1906	SYPL1
ENSGALG00000016281	13623	DMD
ENSGALG00000016281	10575	DMD
ENSGALG00000002892	1464	
ENSGALG00000012388	3121	PCMT1
ENSGALG00000012388	838	PCMT1
ENSGALG00000012388	678	PCMT1
ENSGALG00000013414	1283	PDLIM3
ENSGALG00000037186	1743	
ENSGALG00000037186	1874	
ENSGALG00000004665	1551	KPNA7
ENSGALG00000016731	969	MRPL19
ENSGALG00000016731	1676	MRPL19
ENSGALG00000039068	4275	RSF1
ENSGALG00000013722	2982	SEMA3B
ENSGALG00000013722	2910	SEMA3B
ENSGALG00000013722	2760	SEMA3B
ENSGALG00000013722	2190	SEMA3B
ENSGALG00000012989	1747	NINJ2
ENSGALG00000012989	903	NINJ2
ENSGALG00000006474	1812	SKP1
ENSGALG00000006474	1461	SKP1
ENSGALG00000013427	1464	
ENSGALG00000002904	1090	REEP3
ENSGALG00000036172	2086	
ENSGALG00000036172	1680	
ENSGALG00000039216	5517	COL6A2
ENSGALG00000039216	3006	COL6A2
ENSGALG00000042422	3919	GLI1
ENSGALG00000000950	1186	MVB12B
ENSGALG00000000950	1109	MVB12B
ENSGALG00000000950	5525	MVB12B
ENSGALG00000008098	1637	NAMPT
ENSGALG00000008098	1599	NAMPT
ENSGALG00000008098	1214	NAMPT
ENSGALG00000004693	1608	ARPC1A
ENSGALG00000008574	1396	CLNS1A
ENSGALG00000016732	1136	
ENSGALG00000004343	1624	HPD
ENSGALG00000004343	1703	HPD
ENSGALG00000003299	4341	WHSC1L1
ENSGALG00000003299	4320	WHSC1L1
ENSGALG00000003299	4290	WHSC1L1
ENSGALG00000003299	4263	WHSC1L1
ENSGALG00000019987	1473	LRP11
ENSGALG00000032130	1122	INHBE
ENSGALG00000030769	1201	
ENSGALG00000017927	125	U1
ENSGALG00000031734	1388	AQP11
ENSGALG00000017923	163	U1
ENSGALG00000043736	1618	
ENSGALG00000041575	450	PPP1R14C
ENSGALG00000028202	164	U1
ENSGALG00000006123	6651	
ENSGALG00000006123	6609	
ENSGALG00000006123	2901	
ENSGALG00000040392	840	ALC
ENSGALG00000032062	164	U1
ENSGALG00000013723	1514	OASL
ENSGALG00000040568	264	
ENSGALG00000006480	1161	TCF7
ENSGALG00000031011	164	U1
ENSGALG00000013468	2799	TLR3
ENSGALG00000000681	3043	PAK1
ENSGALG00000035156	4090	DCTN1
ENSGALG00000035156	4416	DCTN1
ENSGALG00000035156	3834	DCTN1
ENSGALG00000035156	3540	DCTN1
ENSGALG00000035156	4146	DCTN1
ENSGALG00000034194	5018	
ENSGALG00000032588	1701	ARPC1B
ENSGALG00000026158	164	U1
ENSGALG00000040582	1457	LMX1B
ENSGALG00000004352	1419	PSMD9
ENSGALG00000036357	372	
ENSGALG00000008081	3582	PIK3CG
ENSGALG00000028766	164	U1
ENSGALG00000029000	2947	HYAL3
ENSGALG00000029087	164	U1
ENSGALG00000036145	459	
ENSGALG00000029841	1281	
ENSGALG00000029841	888	
ENSGALG00000004587	5671	RC3H1
ENSGALG00000004587	5527	RC3H1
ENSGALG00000004587	1398	RC3H1
ENSGALG00000039638	821	
ENSGALG00000000934	1568	ZBTB43
ENSGALG00000040081	164	U1
ENSGALG00000006049	3003	MST4
ENSGALG00000000690	1805	GDPD4
ENSGALG00000043168	164	U1
ENSGALG00000013503	1725	FAM149A
ENSGALG00000023407	2578	ZBTB34
ENSGALG00000004661	2736	SHISA5
ENSGALG00000004661	429	SHISA5
ENSGALG00000040762	164	U1
ENSGALG00000006131	1718	FTCD
ENSGALG00000036552	576	PDAP1
ENSGALG00000040656	2072	
ENSGALG00000040656	2071	
ENSGALG00000008060	1248	PRKAR2B
ENSGALG00000026932	164	U1
ENSGALG00000004365	2676	WDR66
ENSGALG00000030904	13509	LRP1
ENSGALG00000030904	13673	LRP1
ENSGALG00000024890	73	SNORD101
ENSGALG00000031115	330	BKJ
ENSGALG00000025541	137	SNORA33
ENSGALG00000006503	1858	VDAC1
ENSGALG00000006503	1834	VDAC1
ENSGALG00000006503	1480	VDAC1
ENSGALG00000016284	1947	TAB3
ENSGALG00000002942	7158	JMJD1C
ENSGALG00000002942	7104	JMJD1C
ENSGALG00000002942	8415	JMJD1C
ENSGALG00000002942	7565	JMJD1C
ENSGALG00000013535	2401	CYP4V2
ENSGALG00000006133	297	BlSK1
ENSGALG00000025589	104	U6
ENSGALG00000043455	5184	
ENSGALG00000004705	848	BUD31
ENSGALG00000004705	858	BUD31
ENSGALG00000008050	1741	HBP1
ENSGALG00000025686	104	U6
ENSGALG00000017922	104	U6
ENSGALG00000041829	921	
ENSGALG00000036049	447	
ENSGALG00000004591	1811	SERPINC1
ENSGALG00000023843	2091	FRMD7
ENSGALG00000023843	321	FRMD7
ENSGALG00000012992	7074	WNK1
ENSGALG00000012992	7809	WNK1
ENSGALG00000012992	7113	WNK1
ENSGALG00000012992	411	WNK1
ENSGALG00000012992	579	WNK1
ENSGALG00000017925	83	U6
ENSGALG00000004363	5396	MCM3AP
ENSGALG00000013571	1890	KLKB1
ENSGALG00000003741	6171	MYO18A
ENSGALG00000003741	5988	MYO18A
ENSGALG00000003741	6481	MYO18A
ENSGALG00000003741	6469	MYO18A
ENSGALG00000028950	272	Six3os1_5
ENSGALG00000029872	3025	
ENSGALG00000004670	3366	ATRIP
ENSGALG00000004670	2199	ATRIP
ENSGALG00000004670	2370	ATRIP
ENSGALG00000004711	3053	
ENSGALG00000025086	71	SNORD50
ENSGALG00000004597	1176	ZBTB37
ENSGALG00000038018	4093	DNMT1
ENSGALG00000038018	4416	DNMT1
ENSGALG00000012392	948	IYD
ENSGALG00000012392	837	IYD
ENSGALG00000000906	1998	RALGPS1
ENSGALG00000000906	2693	RALGPS1
ENSGALG00000000906	2030	RALGPS1
ENSGALG00000000906	2730	RALGPS1
ENSGALG00000025598	67	SNORD50
ENSGALG00000006130	1058	STMN3
ENSGALG00000001862	2697	ST6GALNAC1
ENSGALG00000031450	6462	MYO7A
ENSGALG00000038754	1979	
ENSGALG00000006506	2324	C13H5ORF15
ENSGALG00000006506	750	C13H5ORF15
ENSGALG00000039786	2924	FGFR1
ENSGALG00000042764	4331	COG5
ENSGALG00000004379	531	BCL7A
ENSGALG00000004379	576	BCL7A
ENSGALG00000004379	558	BCL7A
ENSGALG00000004379	513	BCL7A
ENSGALG00000027994	84	SNORD53_SNORD92
ENSGALG00000016285	1686	
ENSGALG00000016285	1581	
ENSGALG00000016285	2352	
ENSGALG00000013576	1065	MTNR1A
ENSGALG00000004714	1845	CPSF4
ENSGALG00000012153	2355	METTL15
ENSGALG00000012153	1335	METTL15
ENSGALG00000015053	3499	GLDC
ENSGALG00000028735	84	SNORD53_SNORD92
ENSGALG00000004607	1304	
ENSGALG00000027664	495	YBEY
ENSGALG00000027915	79	SNORD53_SNORD92
ENSGALG00000041082	5315	WDR73
ENSGALG00000041082	5154	WDR73
ENSGALG00000001883	1852	ST6GALNAC2
ENSGALG00000027343	77	SNORD53_SNORD92
ENSGALG00000039685	1590	GMEB2
ENSGALG00000004676	1209	
ENSGALG00000006141	2834	POFUT2
ENSGALG00000027797	103	ceN69
ENSGALG00000008032	1302	
ENSGALG00000006061	1078	RAP2C
ENSGALG00000033001	457	ATP5J2
ENSGALG00000033001	498	ATP5J2
ENSGALG00000027556	187	uc_338
ENSGALG00000013579	13793	FAT1
ENSGALG00000001892	540	CYGB
ENSGALG00000032730	2432	NOP56
ENSGALG00000028930	151	uc_338
ENSGALG00000042739	2115	TACC1
ENSGALG00000004684	4690	IPPK
ENSGALG00000012142	3652	KCNA4
ENSGALG00000012142	1446	KCNA4
ENSGALG00000006138	4782	
ENSGALG00000029729	735	
ENSGALG00000029729	836	
ENSGALG00000023661	2120	DUS4L
ENSGALG00000027586	186	uc_338
ENSGALG00000002959	1771	NRBF2
ENSGALG00000036099	645	
ENSGALG00000004721	1290	KCNJ12
ENSGALG00000004614	1229	NPL
ENSGALG00000004614	1070	NPL
ENSGALG00000027749	190	Six3os1_7
