am_gene_id	transcript_id	protein_id	gene_symbol	gene_name	
AMISG000020	AMIST000037	AMISP000037	RD3L	retinal degeneration 3-like	
AMISG000021	AMIST000038	AMISP000038	TDRD9	tudor domain containing 9	
AMISG000022	AMIST000039	AMISP000039	GDA	guanine deaminase	
AMISG000023	AMIST000040	AMISP000040	ZFAND5	zinc finger	
AMISG000024	AMIST000041	AMISP000041	AMISG000024	AMISG000024 uncharacterized protein	
AMISG000025	AMIST000042	AMISP000042	AMISG000025	AMISG000025 uncharacterized protein	
AMISG000026	AMIST000043	AMISP000043	TMC1	transmembrane channel-like 1	
AMISG000027	AMIST000044|AMIST000045	AMISP000044|AMISP000045	AMISG000027	AMISG000027 uncharacterized protein	
AMISG000028	AMIST000046|AMIST000047	AMISP000046|AMISP000047	AMISG000028	AMISG000028 uncharacterized protein	
AMISG000029	AMIST000048	AMISP000048	AMISG000029	AMISG000029 uncharacterized protein	
AMISG000030	AMIST000049	AMISP000049	AMISG000030	AMISG000030 uncharacterized protein	
AMISG000031	AMIST000050	AMISP000050	ADM	adrenomedullin	
AMISG000032	AMIST000051	AMISP000051	CCBE1	collagen and calcium binding EGF domains 1	
AMISG000033	AMIST000052|AMIST000053	AMISP000052|AMISP000053	MBTD1	mbt domain containing 1	
AMISG000034	AMIST000054	AMISP000054	NME2	NME/NM23 nucleoside diphosphate kinase 2	
AMISG000035	AMIST000055|AMIST000056	AMISP000055|AMISP000056	NME1	non-metastatic cells 1	
AMISG000036	AMIST000057|AMIST000058|AMIST000059	AMISP000057|AMISP000058|AMISP000059	SPAG9	sperm associated antigen 9	
AMISG000037	AMIST000060	AMISP000060	AMISG000037	AMISG000037 uncharacterized protein	
AMISG000038	AMIST000061	AMISP000061	AMISG000038	AMISG000038 uncharacterized protein	
AMISG000039	AMIST000062|AMIST000063|AMIST000064	AMISP000062|AMISP000063|AMISP000064	TOB1	transducer of ERBB2	
AMISG000040	AMIST000065	AMISP000065	WFIKKN2	WAP	
AMISG000041	AMIST000066	AMISP000066	AMISG000041	AMISG000041 uncharacterized protein	
AMISG000042	AMIST000067|AMIST000068|AMIST000069	AMISP000067|AMISP000068|AMISP000069	LUC7L3	LUC7-like 3 (S. cerevisiae)	
AMISG000043	AMIST000070|AMIST000071	AMISP000070|AMISP000071	ANKRD40	ankyrin repeat domain 40	
AMISG000044	AMIST000072|AMIST000073|AMIST000074	AMISP000072|AMISP000073|AMISP000074	ABCC3	ATP-binding cassette	
AMISG000045	AMIST000075|AMIST000076|AMIST000077	AMISP000075|AMISP000076|AMISP000077	CACNA1G	calcium channel	
AMISG000046	AMIST000078	AMISP000078	AMISG000046	AMISG000046 uncharacterized protein	
AMISG000047	AMIST000079|AMIST000080	AMISP000079|AMISP000080	SPATA20	spermatogenesis associated 20	
AMISG000048	AMIST000081|AMIST000082	AMISP000081|AMISP000082	MYCBPAP	MYCBP associated protein	
AMISG000049	AMIST000083|AMIST000084	AMISP000083|AMISP000084	RSAD1	radical S-adenosyl methionine domain containing 1	
AMISG000050	AMIST000085|AMIST000086	AMISP000085|AMISP000086	ACSF2	acyl-CoA synthetase family member 2	
AMISG000051	AMIST000087	AMISP000087	CHAD	chondroadherin	
AMISG000052	AMIST000088	AMISP000088	LRRC59	leucine rich repeat containing 59	
AMISG000053	AMIST000089	AMISP000089	EME1	essential meiotic endonuclease 1 homolog 1 (S. pombe)	
AMISG000054	AMIST000090	AMISP000090	MRPL27	mitochondrial ribosomal protein L27	
AMISG000055	AMIST000091	AMISP000091	LOC422106L	similar to chicken LOC422106 (uncharacterized LOC422106)	
AMISG000056	AMIST000092	AMISP000092	XYLT2	xylosyltransferase II	
AMISG000057	AMIST000093	AMISP000093	C17ORF66L	similar to human C17orf66	
AMISG000058	AMIST000094|AMIST000095|AMIST000096	AMISP000094|AMISP000095|AMISP000096	CD300L-S1	CD300 antigen-like family member	
AMISG000059	AMIST000097	AMISP000097	RAP2A	RAP2A	
AMISG000060	AMIST000098|AMIST000099|AMIST000100	AMISP000098|AMISP000099|AMISP000100	LOC100560117L	similar to anole LOC100560117 (muscleblind-like protein 2-like)	
AMISG000061	AMIST000101	AMISP000101	AMISG000061	AMISG000061 uncharacterized protein	
AMISG000062	AMIST000102	AMISP000102	OXGR1	oxoglutarate (alpha-ketoglutarate) receptor 1	
AMISG000063	AMIST000103	AMISP000103	AMISG000063	AMISG000063 uncharacterized protein	
AMISG000064	AMIST000104	AMISP000104	AMISG000064	AMISG000064 uncharacterized protein	
AMISG000065	AMIST000105	AMISP000105	AMISG000065	AMISG000065 uncharacterized protein	
AMISG000066	AMIST000106	AMISP000106	AMISG000066	AMISG000066 uncharacterized protein	
AMISG000067	AMIST000107	AMISP000107	HS6ST3	heparan sulfate 6-O-sulfotransferase 3	
AMISG000068	AMIST000108	AMISP000108	UGGT2	UDP-glucose glycoprotein glucosyltransferase 2	
AMISG000069	AMIST000109|AMIST000110	AMISP000109|AMISP000110	DNAJC3	DnaJ (Hsp40) homolog	
AMISG000070	AMIST000111|AMIST000112|AMIST000113|AMIST000114	AMISP000111|AMISP000112|AMISP000113|AMISP000114	DZIP1	DAZ interacting protein 1	
AMISG000071	AMIST000115	AMISP000115	CLDN10	claudin 10	
AMISG000072	AMIST000116|AMIST000117	AMISP000116|AMISP000117	ABCC4	ATP-binding cassette	
AMISG000073	AMIST000118	AMISP000118	AMISG000073	AMISG000073 uncharacterized protein	
AMISG000074	AMIST000119	AMISP000119	LOC421923L	similar to chicken LOC421923 (uncharacterized LOC421923)	
AMISG000075	AMIST000120	AMISP000120	LGI1	leucine-rich	
AMISG000076	AMIST000121	AMISP000121	FRA10AC1	fragile site	
AMISG000077	AMIST000122|AMIST000123	AMISP000122|AMISP000123	PDE6C	phosphodiesterase 6C	
AMISG000078	AMIST000124	AMISP000124	RBP4	retinol binding protein 4	
AMISG000079	AMIST000125|AMIST000126	AMISP000125|AMISP000126	CALCRL	calcitonin receptor-like	
AMISG000080	AMIST000127|AMIST000128	AMISP000127|AMISP000128	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	
AMISG000081	AMIST000129	AMISP000129	AMISG000081	AMISG000081 uncharacterized protein	
AMISG000082	AMIST000130	AMISP000130	AMISG000082	AMISG000082 uncharacterized protein	
AMISG000083	AMIST000131|AMIST000132	AMISP000131|AMISP000132	LOC100536392L	similar to zebrafish LOC100536392 (cadherin-related family member 5-like)	
AMISG000084	AMIST000133|AMIST000134|AMIST000135|AMIST000136	AMISP000133|AMISP000134|AMISP000135|AMISP000136	KCP	kielin/chordin-like protein	
AMISG000085	AMIST000137|AMIST000138	AMISP000137|AMISP000138	AMISG000085	AMISG000085 uncharacterized protein	
AMISG000086	AMIST000139	AMISP000139	GM9047	predicted gene 9047	
AMISG000087	AMIST000140	AMISP000140	ATP6V1F	ATPase	
AMISG000088	AMIST000141|AMIST000142	AMISP000141|AMISP000142	FLNC	filamin C	
AMISG000089	AMIST000143	AMISP000143	AMISG000089	AMISG000089 uncharacterized protein	
AMISG000090	AMIST000144	AMISP000144	CLTCL1	clathrin	
AMISG000091	AMIST000145	AMISP000145	SLC25A1	solute carrier family 25 (mitochondrial carrier; citrate transporter)	
AMISG000092	AMIST000146|AMIST000147	AMISP000146|AMISP000147	LOC416923L	similar to chicken LOC416923 (RPE-spondin-like)	
AMISG000093	AMIST000148	AMISP000148	LOC416924L	similar to chicken LOC416924 (thyroid adenoma-associated protein homolog)	
AMISG000094	AMIST000149	AMISP000149	GSC2	goosecoid homebox 2	
AMISG000095	AMIST000150	AMISP000150	DGCR14	DiGeorge syndrome critical region gene 14	
AMISG000096	AMIST000151|AMIST000152|AMIST000153|AMIST000154	AMISP000151|AMISP000152|AMISP000153|AMISP000154	TSSK2	testis-specific serine kinase 2	
AMISG000097	AMIST000155|AMIST000156|AMIST000157	AMISP000155|AMISP000156|AMISP000157	DGCR2	DiGeorge syndrome critical region gene 2	
AMISG000098	AMIST000158	AMISP000158	CAR15	carbonic anhydrase 15	
AMISG000099	AMIST000159	AMISP000159	AMISG000099	AMISG000099 uncharacterized protein	
AMISG000100	AMIST000160|AMIST000161	AMISP000160|AMISP000161	AMISG000100	AMISG000100 uncharacterized protein	
AMISG000101	AMIST000162	AMISP000162	PNOC	prepronociceptin	
AMISG000102	AMIST000163|AMIST000164|AMIST000165|AMIST000166|AMIST000167	AMISP000163|AMISP000164|AMISP000165|AMISP000166|AMISP000167	LOC426385L	similar to chicken LOC426385 (serine/threonine kinase 35-like)	
AMISG000103	AMIST000168|AMIST000169	AMISP000168|AMISP000169	ELP3	elongation protein 3 homolog (S. cerevisiae)	
AMISG000104	AMIST000170	AMISP000170	FBXO16	F-box protein 16	
AMISG000105	AMIST000171	AMISP000171	FZD3	frizzled family receptor 3	
AMISG000106	AMIST000172	AMISP000172	DHX15	DEAH (Asp-Glu-Ala-His) box polypeptide 15	
AMISG000107	AMIST000173	AMISP000173	AMISG000107	AMISG000107 uncharacterized protein	
AMISG000108	AMIST000174	AMISP000174	SOD3	superoxide dismutase 3	
AMISG000109	AMIST000175|AMIST000176	AMISP000175|AMISP000176	CCDC149	coiled-coil domain containing 149	
AMISG000110	AMIST000177	AMISP000177	CCDC149	coiled-coil domain containing 149	
AMISG000111	AMIST000178	AMISP000178	AMISG000111	AMISG000111 uncharacterized protein	
AMISG000112	AMIST000179|AMIST000180	AMISP000179|AMISP000180	SEPSECS	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase	
AMISG000113	AMIST000181|AMIST000182	AMISP000181|AMISP000182	PI4K2B	phosphatidylinositol 4-kinase type 2 beta	
AMISG000114	AMIST000183	AMISP000183	ZCCHC4	zinc finger	
AMISG000115	AMIST000184|AMIST000185	AMISP000184|AMISP000185	ANAPC4	anaphase promoting complex subunit 4	
AMISG000116	AMIST000186	AMISP000186	AMISG000116	AMISG000116 uncharacterized protein	
AMISG000117	AMIST000187|AMIST000188	AMISP000187|AMISP000188	SLC34A2	solute carrier family 34 (sodium phosphate)	
AMISG000118	AMIST000189	AMISP000189	AMISG000118	AMISG000118 uncharacterized protein	
AMISG000119	AMIST000190	AMISP000190	SEL1L3	sel-1 suppressor of lin-12-like 3 (C. elegans)	
AMISG000120	AMIST000191	AMISP000191	SMIM20	small integral membrane protein 20	
AMISG000121	AMIST000192|AMIST000193	AMISP000192|AMISP000193	AMISG000121	AMISG000121 uncharacterized protein	
AMISG000122	AMIST000194|AMIST000195|AMIST000196	AMISP000194|AMISP000195|AMISP000196	RBPJ	recombination signal binding protein for immunoglobulin kappa J region	
AMISG000123	AMIST000197|AMIST000198	AMISP000197|AMISP000198	CCKAR	cholecystokinin A receptor	
AMISG000124	AMIST000199|AMIST000200|AMIST000201|AMIST000202|AMIST000203	AMISP000199|AMISP000200|AMISP000201|AMISP000202|AMISP000203	TBC1D19	TBC1 domain family	
AMISG000125	AMIST000204|AMIST000205	AMISP000204|AMISP000205	STIM2	stromal interaction molecule 2	
AMISG000126	AMIST000206|AMIST000207|AMIST000208	AMISP000206|AMISP000207|AMISP000208	AMISG000126	AMISG000126 uncharacterized protein	
AMISG000127	AMIST000209	AMISP000209	AMISG000127	AMISG000127 uncharacterized protein	
AMISG000128	AMIST000210	AMISP000210	AMISG000128	AMISG000128 uncharacterized protein	
AMISG000129	AMIST000211	AMISP000211	RBM27	RNA binding motif protein 27	
AMISG000130	AMIST000212	AMISP000212	AMISG000130	AMISG000130 uncharacterized protein	
AMISG000131	AMIST000213	AMISP000213	POU4F3	POU class 4 homeobox 3	
AMISG000132	AMIST000214|AMIST000215	AMISP000214|AMISP000215	AMISG000132	AMISG000132 uncharacterized protein	
AMISG000133	AMIST000216|AMIST000217|AMIST000218	AMISP000216|AMISP000217|AMISP000218	TCERG1	transcription elongation regulator 1	
AMISG000134	AMIST000219	AMISP000219	C7ORF49L	similar to human C7orf49	
AMISG000135	AMIST000220|AMIST000221|AMIST000222	AMISP000220|AMISP000221|AMISP000222	WDR91	WD repeat domain 91	
AMISG000136	AMIST000223	AMISP000223	STRA8	stimulated by retinoic acid gene 8 homolog (mouse)	
AMISG000137	AMIST000224|AMIST000225	AMISP000224|AMISP000225	LOC417937L	similar to chicken LOC417937 (solute carrier family 23 member 1-like)	
AMISG000138	AMIST000226	AMISP000226	ZGC:162331L	similar to zebrafish zgc:162331	
AMISG000139	AMIST000227|AMIST000228|AMIST000229|AMIST000230|AMIST000231	AMISP000227|AMISP000228|AMISP000229|AMISP000230|AMISP000231	CNOT4	CCR4-NOT transcription complex	
AMISG000140	AMIST000232	AMISP000232	NUP205	nucleoporin 205kDa	
AMISG000141	AMIST000233	AMISP000233	ARL1	ADP-ribosylation factor-like 1	
AMISG000142	AMIST000234	AMISP000234	UTP20	UTP20	
AMISG000143	AMIST000235	AMISP000235	AMISG000143	AMISG000143 uncharacterized protein	
AMISG000144	AMIST000236	AMISP000236	SLC5A8	solute carrier family 5 (iodide transporter)	
AMISG000145	AMIST000237|AMIST000238	AMISP000237|AMISP000238	AMISG000145	AMISG000145 uncharacterized protein	
AMISG000146	AMIST000239	AMISP000239	ABCA1	ATP-binding cassette	
AMISG000147	AMIST000240	AMISP000240	NIPSNAP3A	nipsnap homolog 3A (C. elegans)	
AMISG000148	AMIST000241	AMISP000241	TRIM32	tripartite motif-containing 32	
AMISG000149	AMIST000242	AMISP000242	PSD3	pleckstrin and Sec7 domain containing 3	
AMISG000150	AMIST000243	AMISP000243	AMISG000150	AMISG000150 uncharacterized protein	
AMISG000151	AMIST000244	AMISP000244	AMISG000151	AMISG000151 uncharacterized protein	
AMISG000152	AMIST000245|AMIST000246	AMISP000245|AMISP000246	AMISG000152	AMISG000152 uncharacterized protein	
AMISG000153	AMIST000247	AMISP000247	AMISG000153	AMISG000153 uncharacterized protein	
AMISG000154	AMIST000248	AMISP000248	AMISG000154	AMISG000154 uncharacterized protein	
AMISG000155	AMIST000249	AMISP000249	SPON1	spondin 1	
AMISG000156	AMIST000250	AMISP000250	AMISG000156	AMISG000156 uncharacterized protein	
AMISG000157	AMIST000251|AMIST000252	AMISP000251|AMISP000252	HACE1	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1	
AMISG000158	AMIST000253	AMISP000253	AMISG000158	AMISG000158 uncharacterized protein	
AMISG000159	AMIST000254|AMIST000255	AMISP000254|AMISP000255	LIN28B	lin-28 homolog B (C. elegans)	
AMISG000160	AMIST000256|AMIST000257	AMISP000256|AMISP000257	AMISG000160	AMISG000160 uncharacterized protein	
AMISG000161	AMIST000258|AMIST000259	AMISP000258|AMISP000259	LOC100566130L	similar to anole LOC100566130 (zinc finger protein 287-like)	
AMISG000162	AMIST000260	AMISP000260	AMISG000162	AMISG000162 uncharacterized protein	
AMISG000163	AMIST000261|AMIST000262|AMIST000263	AMISP000261|AMISP000262|AMISP000263	CHRDL1	chordin-like 1	
AMISG000164	AMIST000264|AMIST000265	AMISP000264|AMISP000265	AMISG000164	AMISG000164 uncharacterized protein	
AMISG000165	AMIST000266|AMIST000267	AMISP000266|AMISP000267	AMISG000165	AMISG000165 uncharacterized protein	
AMISG000166	AMIST000268	AMISP000268	SEMA4F	sema domain	
AMISG000167	AMIST000269	AMISP000269	AMISG000167	AMISG000167 uncharacterized protein	
AMISG000168	AMIST000270	AMISP000270	M1AP	meiosis 1 associated protein	
AMISG000169	AMIST000271	AMISP000271	DOK1	docking protein 1	
AMISG000170	AMIST000272	AMISP000272	AMISG000170	AMISG000170 uncharacterized protein	
AMISG000171	AMIST000273	AMISP000273	AMISG000171	AMISG000171 uncharacterized protein	
AMISG000172	AMIST000274	AMISP000274	AMISG000172	AMISG000172 uncharacterized protein	
AMISG000173	AMIST000275|AMIST000276	AMISP000275|AMISP000276	AMISG000173	AMISG000173 uncharacterized protein	
AMISG000174	AMIST000277|AMIST000278|AMIST000279	AMISP000277|AMISP000278|AMISP000279	AMISG000174	AMISG000174 uncharacterized protein	
AMISG000175	AMIST000280	AMISP000280	AMISG000175	AMISG000175 uncharacterized protein	
AMISG000176	AMIST000281	AMISP000281	UNC79	unc-79 homolog (C. elegans)	
AMISG000177	AMIST000282	AMISP000282	AMISG000177	AMISG000177 uncharacterized protein	
AMISG000178	AMIST000283	AMISP000283	RHPN1	rhophilin	
AMISG000179	AMIST000284	AMISP000284	AMISG000179	AMISG000179 uncharacterized protein	
AMISG000180	AMIST000285	AMISP000285	MAFA	v-maf musculoaponeurotic fibrosarcoma oncogene homolog A	
AMISG000181	AMIST000286	AMISP000286	AMISG000181	AMISG000181 uncharacterized protein	
AMISG000182	AMIST000287|AMIST000288	AMISP000287|AMISP000288	ZC3H3	zinc finger CCCH-type containing 3	
AMISG000183	AMIST000289	AMISP000289	LOC100566976L	similar to green anole LOC100566976 (1-phosphatidylinositol-4	
AMISG000184	AMIST000290	AMISP000290	LOC100857179L	similar to chicken LOC100857179 (ubiquitin carboxyl-terminal hydrolase CYLD-like)	
AMISG000185	AMIST000291	AMISP000291	AMISG000185	AMISG000185 uncharacterized protein	
AMISG000186	AMIST000292	AMISP000292	HS1BP3	HCLS1 binding protein 3	
AMISG000187	AMIST000293|AMIST000294	AMISP000293|AMISP000294	GDF7	growth differentiation factor 7	
AMISG000188	AMIST000295|AMIST000296	AMISP000295|AMISP000296	C3H2ORF43L	similar to chicken C3H2ORF43	
AMISG000189	AMIST000297	AMISP000297	AMISG000189	AMISG000189 uncharacterized protein	
AMISG000190	AMIST000298|AMIST000299	AMISP000298|AMISP000299	AMISG000190	AMISG000190 uncharacterized protein	
AMISG000191	AMIST000300|AMIST000301|AMIST000302	AMISP000300|AMISP000301|AMISP000302	AMISG000191	AMISG000191 uncharacterized protein	
AMISG000192	AMIST000303|AMIST000304|AMIST000305	AMISP000303|AMISP000304|AMISP000305	AMISG000192	AMISG000192 uncharacterized protein	
AMISG000193	AMIST000306|AMIST000307	AMISP000306|AMISP000307	AMISG000193	AMISG000193 uncharacterized protein	
AMISG000194	AMIST000308|AMIST000309|AMIST000310	AMISP000308|AMISP000309|AMISP000310	LOC100857114L	similar to chicken LOC100857114 (uncharacterized LOC100857114)	
AMISG000195	AMIST000311	AMISP000311	AMISG000195	AMISG000195 uncharacterized protein	
AMISG000196	AMIST000312	AMISP000312	AMISG000196	AMISG000196 uncharacterized protein	
AMISG000197	AMIST000313	AMISP000313	AMISG000197	AMISG000197 uncharacterized protein	
AMISG000198	AMIST000314	AMISP000314	AMISG000198	AMISG000198 uncharacterized protein	
AMISG000199	AMIST000315	AMISP000315	AMISG000199	AMISG000199 uncharacterized protein	
AMISG000200	AMIST000316	AMISP000316	FERD3L	Fer3-like (Drosophila)	
AMISG000201	AMIST000317	AMISP000317	PDCL2	phosducin-like 2	
AMISG000202	AMIST000318	AMISP000318	AMISG000202	AMISG000202 uncharacterized protein	
AMISG000203	AMIST000319	AMISP000319	AMISG000203	AMISG000203 uncharacterized protein	
AMISG000204	AMIST000320	AMISP000320	HSPH1	heat shock 105kDa/110kDa protein 1	
AMISG000205	AMIST000321	AMISP000321	WDR95	WD40 repeat domain 95	
AMISG000206	AMIST000322	AMISP000322	AMISG000206	AMISG000206 uncharacterized protein	
AMISG000207	AMIST000323|AMIST000324	AMISP000323|AMISP000324	AMISG000207	AMISG000207 uncharacterized protein	
AMISG000208	AMIST000325|AMIST000326	AMISP000325|AMISP000326	AMISG000208	AMISG000208 uncharacterized protein	
AMISG000209	AMIST000327	AMISP000327	AMISG000209	AMISG000209 uncharacterized protein	
AMISG000210	AMIST000328	AMISP000328	AMISG000210	AMISG000210 uncharacterized protein	
AMISG000211	AMIST000329|AMIST000330	AMISP000329|AMISP000330	LRRC58	leucine rich repeat containing 58	
AMISG000212	AMIST000331	AMISP000331	GPR156	G protein-coupled receptor 156	
AMISG000213	AMIST000332|AMIST000333	AMISP000332|AMISP000333	AMISG000213	AMISG000213 uncharacterized protein	
AMISG000214	AMIST000334	AMISP000334	PURA	purine-rich element binding protein A	
AMISG000215	AMIST000335	AMISP000335	AMISG000215	AMISG000215 uncharacterized protein	
AMISG000216	AMIST000336	AMISP000336	AMISG000216	AMISG000216 uncharacterized protein	
AMISG000217	AMIST000337|AMIST000338	AMISP000337|AMISP000338	NRG2	neuregulin 2	
AMISG000218	AMIST000339	AMISP000339	PSD2	pleckstrin and Sec7 domain containing 2	
AMISG000219	AMIST000340|AMIST000341	AMISP000340|AMISP000341	DAP3	death associated protein 3	
AMISG000220	AMIST000342	AMISP000342	ASH1L	ash1 (absent	
AMISG000221	AMIST000343|AMIST000344|AMIST000345	AMISP000343|AMISP000344|AMISP000345	RUSC1	RUN and SH3 domain containing 1	
AMISG000222	AMIST000346	AMISP000346	FDPS	farnesyl diphosphate synthase	
AMISG000223	AMIST000347|AMIST000348	AMISP000347|AMISP000348	AMISG000223	AMISG000223 uncharacterized protein	
AMISG000224	AMIST000349	AMISP000349	HCN3	hyperpolarization activated cyclic nucleotide-gated potassium channel 3	
AMISG000225	AMIST000350|AMIST000351	AMISP000350|AMISP000351	CLK2	CDC-like kinase 2	
AMISG000226	AMIST000352	AMISP000352	LOC100494570L	similar to western clawed frog LOC100494570 (complexin-4-like)	
AMISG000227	AMIST000353	AMISP000353	SCAMP3	secretory carrier membrane protein 3	
AMISG000228	AMIST000354	AMISP000354	GBA	glucosidase	
AMISG000229	AMIST000355	AMISP000355	MTX1	metaxin 1	
AMISG000230	AMIST000356	AMISP000356	THBS3	thrombospondin 3	
AMISG000231	AMIST000357	AMISP000357	MUC1	mucin 1	
AMISG000232	AMIST000358	AMISP000358	TRIM46	tripartite motif containing 46	
AMISG000233	AMIST000359|AMIST000360	AMISP000359|AMISP000360	KRTCAP2	keratinocyte associated protein 2	
AMISG000234	AMIST000361	AMISP000361	DPM3	dolichyl-phosphate mannosyltransferase polypeptide 3	
AMISG000235	AMIST000362	AMISP000362	SLC50A1	solute carrier family 50 (sugar transporter)	
AMISG000236	AMIST000363	AMISP000363	EFNA1	ephrin-A1	
AMISG000237	AMIST000364	AMISP000364	EFNA3	ephrin-A3	
AMISG000238	AMIST000365	AMISP000365	EFNA4	ephrin-A4	
AMISG000239	AMIST000366|AMIST000367|AMIST000368|AMIST000369	AMISP000366|AMISP000367|AMISP000368|AMISP000369	ADAM15	ADAM metallopeptidase domain 15	
AMISG000240	AMIST000370|AMIST000371	AMISP000370|AMISP000371	DCST2	DC-STAMP domain containing 2	
AMISG000241	AMIST000372	AMISP000372	ZBTB7B	zinc finger and BTB domain containing 7B	
AMISG000242	AMIST000373|AMIST000374|AMIST000375|AMIST000376	AMISP000373|AMISP000374|AMISP000375|AMISP000376	FLAD1	flavin adenine dinucleotide synthetase 1	
AMISG000243	AMIST000377	AMISP000377	CKS1B	CDC28 protein kinase regulatory subunit 1B	
AMISG000244	AMIST000378|AMIST000379	AMISP000378|AMISP000379	SHC1	SHC (Src homology 2 domain containing) transforming protein 1	
AMISG000245	AMIST000380	AMISP000380	PYGO2	pygopus homolog 2 (Drosophila)	
AMISG000246	AMIST000381	AMISP000381	PBXIP1	pre-B-cell leukemia homeobox interacting protein 1	
AMISG000247	AMIST000382	AMISP000382	PMVK	phosphomevalonate kinase	
AMISG000248	AMIST000383	AMISP000383	KCNN3	potassium intermediate/small conductance calcium-activated channel	
AMISG000249	AMIST000384|AMIST000385	AMISP000384|AMISP000385	ADAR	adenosine deaminase	
AMISG000250	AMIST000386	AMISP000386	CHRNB2	cholinergic receptor	
AMISG000251	AMIST000387	AMISP000387	AMISG000251	AMISG000251 uncharacterized protein	
AMISG000252	AMIST000388|AMIST000389	AMISP000388|AMISP000389	TDRD10	tudor domain containing 10	
AMISG000253	AMIST000390	AMISP000390	SHE	Src homology 2 domain containing E	
AMISG000254	AMIST000391|AMIST000392	AMISP000391|AMISP000392	ATP8B2	ATPase	
AMISG000255	AMIST000393	AMISP000393	HAX1	HCLS1 associated protein X-1	
AMISG000256	AMIST000394	AMISP000394	AMISG000256	AMISG000256 uncharacterized protein	
AMISG000257	AMIST000395|AMIST000396	AMISP000395|AMISP000396	UBAP2L	ubiquitin associated protein 2-like	
AMISG000258	AMIST000397|AMIST000398	AMISP000397|AMISP000398	C1ORF43L	similar to western clawed frog c1orf43	
AMISG000259	AMIST000399	AMISP000399	LOC100564793L	similar to anole LOC100564793 (uncharacterized protein C1orf189-like)	
AMISG000260	AMIST000400|AMIST000401|AMIST000402|AMIST000403	AMISP000400|AMISP000401|AMISP000402|AMISP000403	TPM3-RS7	tropomyosin 3	
AMISG000261	AMIST000404|AMIST000405	AMISP000404|AMISP000405	NUP210L	nucleoporin 210kDa-like	
AMISG000262	AMIST000406	AMISP000406	RPS27	ribosomal protein S27	
AMISG000263	AMIST000407	AMISP000407	RAB13	RAB13	
AMISG000264	AMIST000408	AMISP000408	JTB	jumping translocation breakpoint	
AMISG000265	AMIST000409|AMIST000410|AMIST000411	AMISP000409|AMISP000410|AMISP000411	CREB3L4	cAMP responsive element binding protein 3-like 4	
AMISG000266	AMIST000412	AMISP000412	SLC39A1	solute carrier family 39 (zinc transporter)	
AMISG000267	AMIST000413	AMISP000413	CRTC2	CREB regulated transcription coactivator 2	
AMISG000268	AMIST000414|AMIST000415	AMISP000414|AMISP000415	DENND4B	DENN/MADD domain containing 4B	
AMISG000269	AMIST000416	AMISP000416	GATAD2B	GATA zinc finger domain containing 2B	
AMISG000270	AMIST000417	AMISP000417	INTS3	integrator complex subunit 3	
AMISG000271	AMIST000418	AMISP000418	NPR1	natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)	
AMISG000272	AMIST000419	AMISP000419	ILF2	interleukin enhancer binding factor 2	
