am_gene_id	length_am
AMISG000592	10861.5
AMISG000593	2276
AMISG000594	648
AMISG000595	2868
AMISG000596	4357.5
AMISG000597	1586
AMISG000598	2236
AMISG000599	939
AMISG000600	612
AMISG000601	564
AMISG000602	1504
AMISG000603	823.5
AMISG000604	1403
AMISG000605	3577
AMISG000606	688
AMISG000607	1270
AMISG000608	2298
AMISG000609	3630
AMISG000610	1650
AMISG000611	1989
AMISG000612	536
AMISG000613	4647
AMISG000614	1825.5
AMISG000615	899
AMISG000616	2724
AMISG000617	3069.5
AMISG000618	1029
AMISG000619	1280
AMISG000620	921
AMISG000621	1375
AMISG000622	7652
AMISG000623	402
AMISG000624	2718
AMISG000625	2666
AMISG000626	1340
AMISG000627	4190
AMISG000628	997
AMISG000629	2944
AMISG000630	808
AMISG000631	5217
AMISG000632	867
AMISG000633	1094
AMISG000634	1658
AMISG000635	2131
AMISG000636	499
AMISG000637	2503
AMISG000638	712
AMISG000639	2800.5
AMISG000640	2878.5
AMISG000641	2635
AMISG000642	1486
AMISG000643	957
AMISG000644	2222
AMISG000645	1344
AMISG000646	3265
AMISG000647	3113
AMISG000648	2506.5
AMISG000649	495
AMISG000650	2198
AMISG000651	1414
AMISG000652	7799
AMISG000653	1113
AMISG000654	862
AMISG000655	1177
AMISG000656	3264
AMISG000657	1129.5
AMISG000658	2268.5
AMISG000659	1817
AMISG000660	1205
AMISG000661	4194.5
AMISG000662	1686
AMISG000663	2423.5
AMISG000664	1007
AMISG000665	1064
AMISG000666	1144
AMISG000667	1145
AMISG000668	2811
AMISG000669	3159.5
AMISG000670	1753
AMISG000671	1392
AMISG000672	1418
AMISG000673	1039
AMISG000674	1103
AMISG000675	2176
AMISG000676	1382
AMISG000677	923
AMISG000678	3228
AMISG000679	454
AMISG000680	1963
AMISG000681	1437
AMISG000682	4579
AMISG000683	1990
AMISG000684	1512
AMISG000685	1025.5
AMISG000686	1729
AMISG000687	9161
AMISG000688	1889
AMISG000689	2682.5
AMISG000690	980.5
AMISG000691	5901.5
AMISG000692	1341
AMISG000693	1222
AMISG000694	1948.5
AMISG000695	3116.5
AMISG000696	1767
AMISG000697	1170
AMISG000698	2446
AMISG000699	1977
AMISG000700	1596
AMISG000701	2058
AMISG000702	1133
AMISG000703	1329
AMISG000704	2228
AMISG000705	5347
AMISG000706	1207
AMISG000707	478.5
AMISG000708	4055
AMISG000709	659
AMISG000710	1031
AMISG000711	474
AMISG000712	795
AMISG000713	1518
AMISG000714	2463
AMISG000715	1647.5
AMISG000716	1026.5
AMISG000717	1103
AMISG000718	2003
AMISG000719	6578
AMISG000720	713
AMISG000721	541
AMISG000722	2293
AMISG000723	915.5
AMISG000724	902
AMISG000725	440
AMISG000726	2483
AMISG000727	1873
AMISG000728	1641
AMISG000729	1606
AMISG000730	1674
AMISG000731	2227
AMISG000732	1427
AMISG000733	1693.5
AMISG000734	1240
AMISG000735	4623
AMISG000736	598
AMISG000737	8525
AMISG000738	1751.5
AMISG000739	1279.5
AMISG000740	820
AMISG000741	939
AMISG000742	665
AMISG000743	750
AMISG000744	1149
AMISG000745	1268
AMISG000746	2080
AMISG000747	1708
AMISG000748	1140
AMISG000749	1234
AMISG000750	1179
AMISG000751	3802.5
AMISG000752	648
AMISG000753	1320
AMISG000754	1087
AMISG000755	651
AMISG000756	1630
AMISG000757	2675
AMISG000758	1744
AMISG000759	4877
AMISG000760	988
AMISG000761	1460
AMISG000762	1603
AMISG000763	329
AMISG000764	2427
AMISG000765	426
AMISG000766	3090
AMISG000767	3066
AMISG000768	1360
AMISG000769	998
AMISG000770	2854
AMISG000771	5100
AMISG000772	1178
AMISG000773	3659
AMISG000774	4981
AMISG000775	1549
AMISG000776	1489
AMISG000777	992
AMISG000778	2434
AMISG000779	1079
AMISG000780	623
AMISG000781	2601
AMISG000782	2679
AMISG000783	1292
AMISG000784	3248
AMISG000785	620
AMISG000786	1350
AMISG000787	433
AMISG000788	2139
AMISG000789	931
AMISG000790	6124.5
AMISG000791	1909
AMISG000792	2344
AMISG000793	573
AMISG000794	800
AMISG000795	3218
AMISG000796	1002
AMISG000797	883.5
AMISG000798	1219
AMISG000799	1108
AMISG000800	1612
AMISG000801	2522.5
AMISG000802	726
AMISG000803	2043
AMISG000804	6761
AMISG000805	1100
AMISG000806	835
AMISG000807	836
AMISG000808	2756
AMISG000809	1848.5
AMISG000810	1514
AMISG000811	2072
AMISG000812	1007
AMISG000813	1062.5
AMISG000814	573
AMISG000815	438
AMISG000816	1154
AMISG000817	723
AMISG000818	1563
AMISG000819	841
AMISG000820	510
AMISG000821	872
AMISG000822	1939.5
AMISG000823	1315
AMISG000824	3286
AMISG000825	1723
AMISG000826	3235.5
AMISG000827	1119
AMISG000828	1399
AMISG000829	1426
AMISG000830	643
AMISG000831	1452
AMISG000832	1058
AMISG000833	3242
AMISG000834	951
AMISG000835	4728
AMISG000836	1129
AMISG000837	4900
AMISG000838	1302
AMISG000839	867
AMISG000840	1052
AMISG000841	451
AMISG000842	1067
AMISG000843	555
AMISG000844	1975
AMISG000845	1267
AMISG000846	1121
AMISG000847	1172
AMISG000848	2465.5
AMISG000849	1440
AMISG000850	881
AMISG000851	1151
AMISG000852	1018
AMISG000853	2088
AMISG000854	1713.5
AMISG000855	1188
AMISG000856	7795
AMISG000857	1392
AMISG000858	1190.5
AMISG000859	887
AMISG000860	2108
AMISG000861	2694.5
AMISG000862	830
AMISG000863	1674
AMISG000864	562
AMISG000865	2013
AMISG000866	755.5
AMISG000867	1782
AMISG000868	1647
AMISG000869	1652.5
AMISG000870	878.5
AMISG000871	835
AMISG000872	2401
AMISG000873	4298
AMISG000874	1782.5
AMISG000875	1918.5
AMISG000876	899
AMISG000877	1491.5
AMISG000878	2129
AMISG000879	4318
AMISG000880	5923
AMISG000881	2053
AMISG000882	1263
AMISG000883	1239
AMISG000884	1151
AMISG000885	1396
AMISG000886	1038
AMISG000887	1022
AMISG000888	1131
AMISG000889	2597.5
AMISG000890	1646.5
AMISG000891	1504.5
AMISG000892	1602
AMISG000893	2164
AMISG000894	2143
AMISG000895	1941
AMISG000896	2493.5
AMISG000897	1655
AMISG000898	484
AMISG000899	603
AMISG000900	3592
AMISG000901	2520
AMISG000902	1435
AMISG000903	1474.5
AMISG000904	2183
AMISG000905	995
AMISG000906	2211
AMISG000907	2884
AMISG000908	604
AMISG000909	721
AMISG000910	4732
AMISG000911	1297
AMISG000912	1698
AMISG000913	1119
AMISG000914	3199
AMISG000915	1293
AMISG000916	1279
AMISG000917	1005.5
AMISG000918	536
AMISG000919	505
AMISG000920	1101
AMISG000921	1013
AMISG000922	2314
AMISG000923	1545.5
AMISG000924	735
AMISG000925	3142
AMISG000926	955
AMISG000927	903
AMISG000928	1458
AMISG000929	556
AMISG000930	642
AMISG000931	2471
AMISG000932	1395
AMISG000933	1156
AMISG000934	1106
AMISG000935	956
AMISG000936	2278
AMISG000937	902
AMISG000938	2042
AMISG000939	1544
AMISG000940	2007.5
AMISG000941	1838
AMISG000942	2223
AMISG000943	2471.5
AMISG000944	1488
AMISG000945	1841
AMISG000946	2069
AMISG000947	2874
AMISG000948	1505
AMISG000949	1566
AMISG000950	645
AMISG000951	6205
AMISG000952	492
AMISG000953	939
AMISG000954	1475
AMISG000955	734.5
AMISG000956	1524
AMISG000957	733
AMISG000958	2646
AMISG000959	1427.5
AMISG000960	487
AMISG000961	607
AMISG000962	2961
AMISG000963	3276
AMISG000964	1688
AMISG000965	1393
AMISG000966	1914
AMISG000967	2092
AMISG000968	1110
AMISG000969	483
AMISG000970	517
AMISG000971	2084
AMISG000972	2088
AMISG000973	1196
AMISG000974	898
AMISG000975	1780
AMISG000976	2889
AMISG000977	1906
AMISG000978	3260
AMISG000979	2489
AMISG000980	1874
AMISG000981	2897
AMISG000982	856
AMISG000983	1084
AMISG000984	2301
AMISG000985	2452.5
AMISG000986	942.5
AMISG000987	2511.5
AMISG000988	2406
AMISG000989	6070
AMISG000990	5779
AMISG000991	2036
AMISG000992	1207
AMISG000993	511
AMISG000994	2615
AMISG000995	1780.5
AMISG000996	4006
AMISG000997	790
AMISG000998	858
AMISG000999	1637
AMISG001000	3537
AMISG001001	2427
AMISG001002	2117.5
AMISG001003	1789
AMISG001004	548
AMISG001005	720
AMISG001006	1542.5
AMISG001007	720
AMISG001008	460
AMISG001009	1796.5
AMISG001010	1847
AMISG001011	2713
AMISG001012	2676
AMISG001013	1044.5
AMISG001014	1399
AMISG001015	1737
AMISG001016	719
AMISG001017	8593.5
AMISG001018	1647
AMISG001019	1018
AMISG001020	1385
AMISG001021	1514
AMISG001022	4914
AMISG001023	866
AMISG001024	426
AMISG001025	1541
AMISG001026	1088
AMISG001027	1315
AMISG001028	3171
AMISG001029	3276
AMISG001030	2076
AMISG001031	3524.5
AMISG001032	758
AMISG001033	2078
AMISG001034	1748
AMISG001035	1342
AMISG001036	1672
AMISG001037	4347.5
AMISG001038	1578
AMISG001039	699.5
AMISG001040	1801
AMISG001041	2532
AMISG001042	1882
AMISG001043	1443
AMISG001044	3248
AMISG001045	2018
AMISG001046	1069
AMISG001047	1559.5
AMISG001048	1151
AMISG001049	1098
AMISG001050	868
AMISG001051	1892
AMISG001052	2406
AMISG001053	998
AMISG001054	1214
AMISG001055	912
AMISG001056	1055
AMISG001057	1179
AMISG001058	940
AMISG001059	896
AMISG001060	777
AMISG001061	585
AMISG001062	619
AMISG001063	448
AMISG001064	972
AMISG001065	655
AMISG001066	393
AMISG001067	1038
AMISG001068	698
AMISG001069	457
AMISG001070	1131
AMISG001071	577
AMISG001072	582
AMISG001073	702
AMISG001074	605
AMISG001075	500
AMISG001076	506
AMISG001077	726
AMISG001078	922
AMISG001079	2446
AMISG001080	1038.5
AMISG001081	2200
AMISG001082	762
AMISG001083	2117
AMISG001084	1161
AMISG001085	1097.5
AMISG001086	2247
AMISG001087	4388
AMISG001088	726
AMISG001089	4996.5
AMISG001090	878
AMISG001091	1911
AMISG001092	836
AMISG001093	840
AMISG001094	942
AMISG001095	1182
AMISG001096	1348
AMISG001097	1605
AMISG001098	3579
AMISG001099	1821
AMISG001100	1275
AMISG001101	3501
AMISG001102	1504
AMISG001103	2087.5
AMISG001104	1579.5
AMISG001105	15308
AMISG001106	1638
AMISG001107	760
AMISG001108	1337
AMISG001109	4172
AMISG001110	2914
AMISG001111	657
AMISG001112	850
AMISG001113	1074
AMISG001114	3146
AMISG001115	1414
AMISG001116	775
AMISG001117	3357.5
AMISG001118	1198
AMISG001119	1340
AMISG001120	1515
AMISG001121	1924
AMISG001122	3500
AMISG001123	951
AMISG001124	1835.5
AMISG001125	1219
AMISG001126	1137
AMISG001127	2533
AMISG001128	4591.5
AMISG001129	1258
AMISG001130	983.5
AMISG001131	2869
AMISG001132	1889
AMISG001133	1605
AMISG001134	3285
AMISG001135	1080
AMISG001136	1164
AMISG001137	2170
AMISG001138	2077
AMISG001139	1751
AMISG001140	1513
AMISG001141	1102
AMISG001142	3385
AMISG001143	1267
AMISG001144	664
AMISG001145	3930
AMISG001146	764
AMISG001147	644
AMISG001148	1031
AMISG001149	934
AMISG001150	731
AMISG001151	435
AMISG001152	1919
AMISG001153	1593
AMISG001154	1316
AMISG001155	1500
AMISG001156	1972
AMISG001157	1136
AMISG001158	1806
AMISG001159	1595
AMISG001160	1161
AMISG001161	652
AMISG001162	1292
AMISG001163	2385
AMISG001164	1381.5
AMISG001165	1718.5
AMISG001166	689
AMISG001167	1884.5
AMISG001168	987
AMISG001169	607
AMISG001170	778
AMISG001171	1297
AMISG001172	649
AMISG001173	585
AMISG001174	680
AMISG001175	440
AMISG001176	1779
AMISG001177	3298
AMISG001178	1097
AMISG001179	630
AMISG001180	678
AMISG001181	1050
AMISG001182	553
AMISG001183	3127.5
AMISG001184	983.5
AMISG001185	473
AMISG001186	1116
AMISG001187	829
AMISG001188	3631
AMISG001189	2535
AMISG001190	4134.5
AMISG001191	4079
AMISG001192	804
AMISG001193	1491
AMISG001194	4269
AMISG001195	1523.5
AMISG001196	490
AMISG001197	1882
AMISG001198	1888
AMISG001199	1518.5
AMISG001200	859
AMISG001201	949
AMISG001202	2397.5
AMISG001203	824
AMISG001204	627.5
AMISG001205	1440
AMISG001206	1995
AMISG001207	911.5
AMISG001208	865
AMISG001209	2853
AMISG001210	1624
AMISG001211	1642
AMISG001212	885
AMISG001213	8980
AMISG001214	2218
AMISG001215	2612
AMISG001216	1742
AMISG001217	674
AMISG001218	5579.5
AMISG001219	1875
AMISG001220	1073.5
AMISG001221	6756
AMISG001222	784
AMISG001223	727
AMISG001224	684
AMISG001225	627
AMISG001226	1545
AMISG001227	1473
AMISG001228	1849.5
AMISG001229	1728
AMISG001230	1685
AMISG001231	1312
AMISG001232	5034
AMISG001233	2334
AMISG001234	2863
AMISG001235	1451.5
AMISG001236	2420
AMISG001237	2144
AMISG001238	1244
AMISG001239	503
AMISG001240	1609
AMISG001241	634
AMISG001242	1868
AMISG001243	2506
AMISG001244	1591.5
AMISG001245	4654
AMISG001246	3599
AMISG001247	736
AMISG001248	781
AMISG001249	1034.5
AMISG001250	6322
AMISG001251	885
AMISG001252	1973
AMISG001253	2103
AMISG001254	744
AMISG001255	1872
AMISG001256	590
AMISG001257	837
AMISG001258	1857
AMISG001259	1317
AMISG001260	1117
AMISG001261	1667
AMISG001262	1243
AMISG001263	966
AMISG001264	1183
AMISG001265	919
AMISG001266	1670
AMISG001267	1893.5
AMISG001268	1723
AMISG001269	2150
AMISG001270	1270
AMISG001271	1894.5
AMISG001272	1031.5
AMISG001273	3516
AMISG001274	2772
AMISG001275	1317.5
AMISG001276	1207
AMISG001277	2587
AMISG001278	1286
AMISG001279	747
AMISG001280	572
AMISG001281	2493.5
AMISG001282	3398
AMISG001283	1018
AMISG001284	1299
AMISG001285	1077
AMISG001286	1786
AMISG001287	1786
AMISG001288	2065
AMISG001289	575
AMISG001290	628
AMISG001291	676
AMISG001292	1165.5
AMISG001293	3642.5
AMISG001294	1123
AMISG001295	1105
AMISG001296	2667
AMISG001297	6220
AMISG001298	539
AMISG001299	958
AMISG001300	1208
AMISG001301	1026
AMISG001302	1448
AMISG001303	394
AMISG001304	476
AMISG001305	2150
AMISG001306	1049.5
AMISG001307	1595
AMISG001308	1153
AMISG001309	3347
AMISG001310	2553
AMISG001311	1613
AMISG001312	1824
AMISG001313	1382
AMISG001314	1455
AMISG001315	1765
AMISG001316	1441
AMISG001317	1560
AMISG001318	425
AMISG001319	465
AMISG001320	939
AMISG001321	1464
AMISG001322	1224
AMISG001323	2660
AMISG001324	740
AMISG001325	2943
AMISG001326	714
AMISG001327	2132
AMISG001328	611
AMISG001329	918.5
AMISG001330	8931
AMISG001331	1350
AMISG001332	1830
AMISG001333	1951
AMISG001334	1178
AMISG001335	887
AMISG001336	3521
AMISG001337	5094.5
AMISG001338	6588.5
AMISG001339	3326
AMISG001340	7734.5
AMISG001341	991
AMISG001342	1240
AMISG001343	601
AMISG001344	997
AMISG001345	975
AMISG001346	511
AMISG001347	2104
AMISG001348	610.5
AMISG001349	508
AMISG001350	1381
AMISG001351	2945
AMISG001352	1508
AMISG001353	514
AMISG001354	2843
AMISG001355	1091
AMISG001356	1188.5
AMISG001357	1694
AMISG001358	1065.5
AMISG001359	2564
AMISG001360	1923
AMISG001361	1108
AMISG001362	1559.5
AMISG001363	1868
AMISG001364	2407
AMISG001365	1928.5
AMISG001366	1931.5
AMISG001367	359
AMISG001368	1093
AMISG001369	1176
AMISG001370	3622.5
AMISG001371	1278
AMISG001372	1201
AMISG001373	1948
AMISG001374	1526
AMISG001375	1435
AMISG001376	1944
AMISG001377	1085
AMISG001378	1406.5
AMISG001379	921
AMISG001380	1414
AMISG001381	2769.5
AMISG001382	903
AMISG001383	607
AMISG001384	3565
AMISG001385	1344
AMISG001386	1121
AMISG001387	750
AMISG001388	409
AMISG001389	2283
AMISG001390	680
AMISG001391	794
AMISG001392	1449.5
AMISG001393	1637
AMISG001394	1090
AMISG001395	1250
AMISG001396	1694.5
AMISG001397	1287
AMISG001398	632
AMISG001399	1678
AMISG001400	2648
AMISG001401	1675
AMISG001402	1567
AMISG001403	1856
AMISG001404	870
AMISG001405	2191
AMISG001406	1430
AMISG001407	1868
AMISG001408	1413.5
AMISG001409	2199
AMISG001410	1501
AMISG001411	3226
AMISG001412	988
AMISG001413	4349.5
AMISG001414	1383
AMISG001415	1451
AMISG001416	3007
AMISG001417	587
AMISG001418	1073.5
AMISG001419	1002
AMISG001420	802
AMISG001421	1774
AMISG001422	2537
AMISG001423	1810
AMISG001424	1128
AMISG001425	2153
AMISG001426	920
AMISG001427	1364
AMISG001428	1095
AMISG001429	4897.5
AMISG001430	5145.5
AMISG001431	916
AMISG001432	875
AMISG001433	741
AMISG001434	974
AMISG001435	1429
AMISG001436	2268
AMISG001437	583
AMISG001438	1089
AMISG001439	2432.5
AMISG001440	2870
AMISG001441	371
AMISG001442	1731
AMISG001443	834
AMISG001444	946
AMISG001445	1380
AMISG001446	2591
AMISG001447	598
AMISG001448	1350.5
AMISG001449	6950
AMISG001450	1931
AMISG001451	3634.5
AMISG001452	1789
AMISG001453	1314
AMISG001454	2263
AMISG001455	4127
AMISG001456	1004
AMISG001457	2785
